data_provider,institutionCode,variable,counts
idigbio,UCR,has_scientificName,420768
idigbio,UCR,has_acceptedNameUsage,0
idigbio,UCR,has_locality,420756
idigbio,UCR,has_countryCode,420757
idigbio,UCR,has_coordinates,401028
idigbio,UCR,has_image,54
idigbio,UCR,has_dateIdentified,76936
idigbio,UCR,has_identifiedBy,86589
idigbio,UCR,has_recordedBy,420768
idigbio,UCR,has_eventDate,154199
idigbio,GSW,total,13036
idigbio,GSW,has_collectionCode,0
idigbio,GSW,has_catalogNumber,13036
idigbio,GSW,has_scientificName,13036
idigbio,GSW,has_acceptedNameUsage,0
idigbio,GSW,has_locality,3192
idigbio,GSW,has_countryCode,13005
idigbio,GSW,has_coordinates,886
idigbio,GSW,has_image,12865
idigbio,GSW,has_dateIdentified,61
idigbio,GSW,has_identifiedBy,101
idigbio,GSW,has_recordedBy,3271
idigbio,GSW,has_eventDate,3205
idigbio,MWCF,total,5226
idigbio,MWCF,has_collectionCode,0
idigbio,MWCF,has_catalogNumber,5226
idigbio,MWCF,has_scientificName,5226
idigbio,MWCF,has_acceptedNameUsage,0
idigbio,MWCF,has_locality,1803
idigbio,MWCF,has_countryCode,5191
idigbio,MWCF,has_coordinates,78
idigbio,MWCF,has_image,2037
idigbio,MWCF,has_dateIdentified,345
idigbio,MWCF,has_identifiedBy,1521
idigbio,MWCF,has_recordedBy,1882
idigbio,MWCF,has_eventDate,1837
idigbio,ALBC,total,236
idigbio,ALBC,has_collectionCode,0
idigbio,ALBC,has_catalogNumber,236
idigbio,ALBC,has_scientificName,236
idigbio,ALBC,has_acceptedNameUsage,0
idigbio,ALBC,has_locality,197
idigbio,ALBC,has_countryCode,187
idigbio,ALBC,has_coordinates,0
idigbio,ALBC,has_image,236
idigbio,ALBC,has_dateIdentified,33
idigbio,ALBC,has_identifiedBy,35
idigbio,ALBC,has_recordedBy,227
idigbio,ALBC,has_eventDate,227
idigbio,LA,total,17186
idigbio,LA,has_collectionCode,17186
idigbio,LA,has_catalogNumber,17186
idigbio,LA,has_scientificName,17186
idigbio,LA,has_acceptedNameUsage,0
idigbio,LA,has_locality,16187
idigbio,LA,has_countryCode,17186
idigbio,LA,has_coordinates,13547
idigbio,LA,has_image,0
idigbio,LA,has_dateIdentified,0
idigbio,LA,has_identifiedBy,0
idigbio,LA,has_recordedBy,17186
idigbio,LA,has_eventDate,16757
idigbio,PEMB,total,4469
idigbio,PEMB,has_collectionCode,0
idigbio,PEMB,has_catalogNumber,4469
idigbio,PEMB,has_scientificName,4469
idigbio,PEMB,has_acceptedNameUsage,0
idigbio,PEMB,has_locality,918
idigbio,PEMB,has_countryCode,4468
idigbio,PEMB,has_coordinates,403
idigbio,PEMB,has_image,4255
idigbio,PEMB,has_dateIdentified,975
idigbio,PEMB,has_identifiedBy,977
idigbio,PEMB,has_recordedBy,989
idigbio,PEMB,has_eventDate,916
idigbio,EVE,total,1124
idigbio,EVE,has_collectionCode,434
idigbio,EVE,has_catalogNumber,1124
idigbio,EVE,has_scientificName,1124
idigbio,EVE,has_acceptedNameUsage,409
idigbio,EVE,has_locality,1112
idigbio,EVE,has_countryCode,1118
idigbio,EVE,has_coordinates,380
idigbio,EVE,has_image,245
idigbio,EVE,has_dateIdentified,27
idigbio,EVE,has_identifiedBy,708
idigbio,EVE,has_recordedBy,1117
idigbio,EVE,has_eventDate,1084
idigbio,DSUND,total,1431
idigbio,DSUND,has_collectionCode,0
idigbio,DSUND,has_catalogNumber,1421
idigbio,DSUND,has_scientificName,1431
idigbio,DSUND,has_acceptedNameUsage,0
idigbio,DSUND,has_locality,193
idigbio,DSUND,has_countryCode,1316
idigbio,DSUND,has_coordinates,949
idigbio,DSUND,has_image,5
idigbio,DSUND,has_dateIdentified,36
idigbio,DSUND,has_identifiedBy,1116
idigbio,DSUND,has_recordedBy,1206
idigbio,DSUND,has_eventDate,1210
idigbio,HCHM,total,4051
idigbio,HCHM,has_collectionCode,0
idigbio,HCHM,has_catalogNumber,4051
idigbio,HCHM,has_scientificName,4051
idigbio,HCHM,has_acceptedNameUsage,0
idigbio,HCHM,has_locality,3907
idigbio,HCHM,has_countryCode,3948
idigbio,HCHM,has_coordinates,4
idigbio,HCHM,has_image,3943
idigbio,HCHM,has_dateIdentified,66
idigbio,HCHM,has_identifiedBy,3424
idigbio,HCHM,has_recordedBy,3892
idigbio,HCHM,has_eventDate,3709
idigbio,GMDRC,total,5498
idigbio,GMDRC,has_collectionCode,5498
idigbio,GMDRC,has_catalogNumber,5498
idigbio,GMDRC,has_scientificName,5498
idigbio,GMDRC,has_acceptedNameUsage,0
idigbio,GMDRC,has_locality,5496
idigbio,GMDRC,has_countryCode,5498
idigbio,GMDRC,has_coordinates,5122
idigbio,GMDRC,has_image,5
idigbio,GMDRC,has_dateIdentified,5
idigbio,GMDRC,has_identifiedBy,5
idigbio,GMDRC,has_recordedBy,5498
idigbio,GMDRC,has_eventDate,5495
idigbio,"SEL, CM",total,1
idigbio,"SEL, CM",has_collectionCode,0
idigbio,"SEL, CM",has_catalogNumber,1
idigbio,"SEL, CM",has_scientificName,1
idigbio,"SEL, CM",has_acceptedNameUsage,0
idigbio,"SEL, CM",has_locality,0
idigbio,"SEL, CM",has_countryCode,1
idigbio,"SEL, CM",has_coordinates,0
idigbio,"SEL, CM",has_image,0
idigbio,"SEL, CM",has_dateIdentified,0
idigbio,"SEL, CM",has_identifiedBy,1
idigbio,"SEL, CM",has_recordedBy,1
idigbio,"SEL, CM",has_eventDate,0
idigbio,TTU,total,10
