institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
MONTU,64671,63319,64663,64671,63023,62413,64619,61286,55771,56808,57280,64577,64059,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MOR,103505,85840,103505,103505,0,95341,103346,18063,58292,3089,16943,103064,101046,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MOT,2488,0,2488,2488,0,2488,2484,2487,2488,1,4,2482,2428,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MOVC,2572,0,0,2572,0,2499,2572,2449,0,2,2,2369,2504,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MSB,39,39,39,39,0,39,39,36,21,37,39,39,39,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MSC,203786,179189,203715,203786,0,198562,190026,32125,24547,11046,11598,197717,192300,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MSUB,13444,0,10747,13444,0,11701,13356,73,0,4,4139,11956,12207,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MSUNH,1384,0,1303,1384,0,1283,1331,31,0,478,646,1342,1342,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MU,145035,0,145035,145035,0,61103,104997,23070,139464,21475,25463,108354,101304,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MUGM,19,19,19,19,0,19,19,19,0,0,0,18,18,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MUHW,41956,0,41467,41956,0,16001,40475,1435,40375,5440,8278,16673,15579,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MUR,1,0,1,1,0,1,1,1,1,0,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MWCF,5226,0,5226,5226,0,1803,5191,78,2037,345,1521,1882,1837,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MWI,42354,0,42354,42354,0,40148,42079,3988,0,42331,42351,42353,41943,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NAVA,12737,0,12609,12737,0,2634,12733,2092,2059,931,2262,12723,2619,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NCSC,76822,40092,76787,76822,0,40046,75360,3415,71478,2471,429,43317,39451,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NCSLG,4773,0,0,4766,0,4710,4703,617,0,0,4743,4717,4767,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NCSM,1848,1848,1848,1158,0,1761,1847,0,0,1406,1294,1703,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NCSU,4,0,4,4,0,4,4,0,0,4,4,4,4,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NCU,508311,276,508155,508311,0,221700,501427,104960,400106,129833,135209,239547,221150,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NCZP,2343,0,1451,2343,0,1423,2323,1,1271,14,14,2340,2282,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NDA,8379,0,8379,8379,0,5162,8379,1212,8379,5086,5114,5350,5340,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NDOA,1150,0,1150,1150,0,1126,1147,1,1150,3,1052,1147,1132,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NEB,48000,0,48000,48000,0,25003,43832,23385,47920,9013,14514,42170,40048,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NEBC,159359,159359,159359,159359,0,153502,159338,152,152309,5241,4130,159242,153540,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NEBK,11186,0,11131,11186,0,10970,11033,9,3971,1,2948,11038,10960,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NHA,171352,86144,171352,171352,0,119490,171200,85152,169266,4069,4324,170345,167463,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NHI,8223,0,8223,8223,0,2851,3578,2689,464,1765,1879,2944,8154,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NLU,10250,0,10249,10250,0,4688,10238,270,9620,423,438,10150,10084,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NMC,1,1,1,1,0,1,1,0,0,0,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NMNHI,60,0,0,60,0,59,60,12,0,19,60,60,59,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NMSU,1,1,1,1,0,1,1,0,0,1,1,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NPS,2021,2021,2021,2021,0,1999,2020,1992,0,37,37,2021,1989,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NULL,1,1,1,1,0,1,1,1,1,0,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NY,3929270,3929269,3929270,3929259,0,2288981,2503088,1282421,2836563,619691,828065,2538977,2350050,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NYS,43264,39805,43264,42739,0,42108,41407,0,0,0,0,36472,37130,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
OBI,46093,44971,45767,46093,0,45897,46053,24772,1009,226,417,46040,45702,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ODU,1729,0,1729,1729,0,1607,1698,128,0,46,149,1703,1604,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
OMA,18989,0,18989,18989,0,18926,18579,5248,0,0,0,18967,18829,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
OMNH,5,5,5,5,0,0,5,0,0,0,0,0,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
OS,49574,30340,49572,49574,0,3664,48554,25417,47617,3451,9227,40561,35536,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
OSC,82451,7,82451,79267,0,82024,80757,35287,9744,6320,6207,79499,65945,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
OSUC,1,1,1,1,0,1,1,1,0,1,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PAC,30167,0,30167,30167,0,5042,30149,128,28702,113,165,5433,5105,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PASA,2394,2394,2394,2394,0,2363,2394,906,0,0,0,2017,2273,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PEMB,4469,0,4469,4469,0,918,4468,403,4255,975,977,989,916,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PERTH,131,0,0,131,0,131,131,90,130,3,1,131,129,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PGM,7591,7591,7591,7591,0,7591,7591,3140,0,0,0,7589,7587,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PH,484504,0,484504,484504,0,171932,482535,28010,446710,16169,29362,180141,169871,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PLU,7087,7087,7083,7087,7028,6971,7027,770,7020,405,1431,7036,6916,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
POM,205936,87555,121543,205936,0,205174,205750,67404,0,0,0,205895,201477,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PRC,211145,211145,211145,211145,0,209256,211143,38382,128493,5,210205,211141,207180,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PRI,729,729,729,714,0,729,716,70,0,1,15,194,12,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PSM,11745,11745,11745,11745,11561,11426,11614,220,11514,2,2,11526,11652,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PSUC,19,19,19,19,0,2,4,6,0,1,4,10,8,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
"PT: SEL, USF",1,0,1,1,0,1,1,1,1,0,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PUL,2,0,2,2,0,0,2,2,2,0,0,2,2,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
PUR,4,0,4,4,0,3,4,4,4,0,0,4,4,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
REED,5484,5484,5456,5484,5344,5314,5437,1797,4873,678,930,5442,5346,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
RENO,102497,102497,102497,102497,0,101202,102494,80194,22247,20753,25112,102497,101302,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
RHNM,6,0,6,6,0,6,6,6,6,5,5,6,6,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
RM,6129,6,6129,6129,0,9,6125,3,6124,5,5,10,10,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
RMBL,6937,0,6900,6937,0,6824,6937,3591,6759,2728,2833,6932,6824,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
RMS,32469,0,32466,32469,0,18932,26181,4755,29818,396,16941,31534,31853,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
RSA,742723,334601,424250,742723,0,739946,741902,380830,0,0,0,742618,734089,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
RSABG,17,0,14,17,0,17,16,2,0,0,0,16,16,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SACT,2522,2522,2522,2522,0,1965,2522,2102,0,0,0,2478,2495,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SALK,500,0,500,500,0,472,500,466,475,468,473,499,478,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SAPCL,258,0,258,258,0,253,239,116,0,247,249,256,230,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SAU,4472,0,0,4472,0,4266,4359,4167,0,174,255,3188,4293,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SBBG,132162,99909,131767,132162,0,131639,131805,92516,0,12138,15379,131867,130536,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SC,3872,0,3872,3872,0,656,3810,306,2730,654,655,662,582,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SCFS,1000,1000,1000,1000,0,999,1000,922,0,0,0,998,992,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SCIR,1296,0,1296,1296,0,1275,1273,1275,1282,65,54,1291,1275,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SD,127440,127440,127440,127440,0,127197,127440,114930,0,0,0,127437,126953,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SDSM,1059,1059,1059,1059,0,0,1041,0,0,0,0,0,61,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SDSU,33534,33534,33533,33534,0,32308,33532,18416,2,16656,16694,33282,32934,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SEINet,268,33,266,268,0,261,268,263,15,93,108,268,262,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SEL,6216,0,6216,6216,0,5866,6214,2650,5906,1487,1688,6216,5886,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
"SEL, CM",1,0,1,1,0,0,1,0,0,0,1,1,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
"SEL, FLAS",9,0,9,9,0,7,9,4,7,0,5,9,7,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
"SEL, MO",1,0,1,1,0,0,1,0,0,1,1,1,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
"SEL, USF",61,0,61,61,0,61,61,23,61,0,0,61,61,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
"SEL,AMES",1,0,1,1,0,0,1,0,0,1,1,1,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SENEY,741,0,741,741,0,734,730,0,734,283,283,741,693,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SFSU,34336,0,34318,34336,0,26138,27120,21786,33545,1116,26209,34269,33219,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SFV,7201,7201,7201,7201,0,7189,7201,5646,0,0,0,7201,7184,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SIM,23935,0,23935,23935,0,20184,23436,10445,21315,6,30,23905,20551,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SIU,6785,0,6785,6785,0,6723,6768,409,6785,398,2838,6770,4770,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SJSU,10115,10115,10115,10115,0,10103,10115,5496,0,0,0,10115,10114,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SMU,804,0,804,804,0,650,794,13,0,231,320,804,631,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SNM,27589,0,27588,27589,0,26927,27588,7539,0,9237,9265,27516,26805,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SOC,18227,18227,18227,18227,18094,17633,18207,1315,16755,9001,17673,18227,18111,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SRP,94195,71427,83052,94195,67922,80817,82362,56999,79163,12028,32256,82336,82091,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SUU,5713,0,5637,5713,0,5100,5469,1160,1015,5402,5436,5485,5334,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SWRS,1670,0,1670,1670,0,1648,1670,1,0,1629,1663,1669,1645,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
SYRF,6991,0,6991,6986,0,5767,6194,5,6885,84,2155,6348,6099,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TAC,2096,0,2096,2096,0,1749,2085,385,0,1913,1925,2083,2052,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TAES,846,0,846,846,0,845,841,839,845,837,839,846,838,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TAWES,4357,0,4357,4357,0,3108,4357,92,3217,63,63,4234,3108,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TENN,414921,67092,414921,414921,0,167494,411991,151187,349598,13754,52063,172378,170697,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TEX,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TLE,25440,0,25440,25440,0,24992,25341,13944,24017,21758,22265,25420,25138,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TLU,5389,5389,0,5389,0,5362,5388,5254,0,142,167,5389,5360,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TROY,14534,0,14534,14534,0,14534,14534,4971,14534,0,0,14533,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TTRS,10505,10505,10505,10505,0,10383,10505,10459,10043,0,0,10445,507,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TTU,10,10,9,10,0,8,10,8,0,0,1,3,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
TU,67,67,67,67,0,0,54,46,0,0,0,67,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UAAH,11201,11201,11201,11201,11033,10568,11194,10508,6800,3644,4471,11113,11144,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UAM,200695,200695,200695,200695,0,200695,125497,122633,172315,199369,200695,200691,200695,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UAMb,74247,74247,74247,74247,0,74247,72917,29489,56788,74236,74247,74247,74247,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UARK,2727,0,2727,2727,0,2712,2538,1171,2727,1503,2635,2710,2665,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UC,490499,260687,490494,490499,0,396043,407887,263889,220413,6432,18698,411497,399778,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCD,102124,102124,102124,102124,0,101980,102124,68001,0,0,0,101946,100088,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCHT,43163,1,42101,43163,0,6837,42684,33,9947,687,745,9007,8642,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCLA,690,690,690,690,0,654,690,492,0,0,0,690,653,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCM,230,230,230,230,0,230,223,14,0,215,216,217,212,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCMP,61968,61968,61968,60329,0,60278,60605,13532,914,0,0,32638,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UConn,155695,155695,155694,155695,0,143429,152708,136411,150277,4054,5308,151968,153899,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCR,420768,420767,154233,420768,0,420756,420757,401028,54,76936,86589,420768,154199,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCSB,36815,36815,36815,36814,0,36803,36813,17687,28,8,6,36245,36409,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UCSC,7348,7337,7338,7348,0,7270,7348,4489,1,0,0,7345,7065,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UD,62,62,62,62,0,31,62,62,0,62,62,55,62,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UF,20111,20111,20109,20111,0,15235,19794,17452,1,0,0,18534,3307,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UHIM,10,10,10,10,0,0,10,0,10,0,0,10,10,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UHM,1519,1519,1519,1519,0,1418,1488,1460,644,534,1055,1392,1368,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UMFK,46285,0,46285,46285,0,46280,46285,747,0,0,46253,46284,46274,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UMMZ,128,128,128,128,0,128,124,22,0,0,0,128,38,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UNA,2394,0,2394,2394,0,2388,2377,2229,2363,490,525,2394,2302,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UNAF,4878,0,3153,4878,0,4843,4875,2375,2379,2328,2378,4869,4838,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UNCA,7839,0,7839,7839,0,7371,7830,3407,1,7829,7835,7782,7354,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UNCC,9590,9590,9590,9590,0,8550,9555,1726,6987,119,119,9589,8533,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UNLV,3143,0,3143,3143,0,3138,3143,1601,3143,1597,1682,3141,3134,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UNM,125905,125905,59790,125905,0,121935,125410,58640,56264,32252,44419,125731,121151,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UOMNH,10417,10417,10415,9593,0,10329,9047,1265,0,0,5995,8929,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
URV,2261,0,2261,2261,0,2246,2261,262,2249,1845,1904,2260,2240,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
US,3178979,3178979,2907734,3178978,0,2925066,3112641,529671,2366710,0,450893,3166866,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USAM,621,0,621,621,0,580,600,588,607,0,7,548,529,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USCH,104983,104539,58685,104983,0,99001,102575,21042,55202,671,103066,103787,94129,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USCS,17838,0,17838,17838,0,13,17838,0,17440,0,0,19,13,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USF,241732,224594,241732,241732,0,230628,240202,51993,240103,93564,108846,241606,237998,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USFS,8148,8148,3127,8148,0,7896,8073,6293,146,2140,4632,7957,7676,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USFWS,5062,5062,5062,5062,0,4929,5062,4926,4513,4455,4764,5062,4929,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USMS,18291,0,17666,18291,0,17168,17976,10297,16436,882,1228,16064,15078,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USNM,80789,80789,80788,80781,0,16720,24358,5583,5146,0,36869,13607,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USU,154050,154050,153863,154049,0,146424,153227,69138,84687,54089,56057,149473,143502,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
USUUB,6845,0,6839,6838,0,6492,6845,6555,0,6795,6800,6841,6821,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UT,21976,21976,21973,21976,0,8258,21768,4834,21629,3951,4269,8467,8283,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UTC,2639,2639,2639,2639,0,2578,2638,1270,27,250,284,2637,2417,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UTEP,82315,82315,82315,82315,0,82315,82287,32673,282,67404,82315,82313,82315,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UVA,213,213,213,213,0,213,213,22,213,0,0,213,199,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UVSC,15971,15566,15971,15971,0,15727,15971,13577,0,0,0,15968,15718,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UWBM,19,19,19,19,0,19,19,16,0,0,0,13,8,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UWEC,1675,0,1675,1675,0,1279,1674,152,1675,1182,1492,1672,1659,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UWFP,21517,0,21517,21517,0,304,21282,304,20699,0,0,304,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UWL,7385,0,7385,7385,0,6904,7384,7018,7381,7049,7054,7162,6992,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UWM,7815,0,7815,7815,0,6171,7804,6232,7547,6766,6774,7812,7249,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
UWSP,73669,53181,73669,73669,0,60022,73591,50049,49989,8907,12717,73478,71750,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VALE,5060,5060,5060,5060,5025,4717,5053,3293,4726,96,4172,5058,4960,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VCU,18873,0,18873,18873,0,0,18854,0,18577,94,94,0,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VDB,156135,3927,156132,156135,0,11623,156126,632,152624,139719,140987,12458,11667,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VDBBRIT,1,1,1,1,0,1,1,0,0,1,1,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VMNH,70,70,70,70,0,70,70,39,69,0,54,57,46,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VPI,33599,1,31874,33479,0,6110,33599,3133,19835,257,5367,6131,6067,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VSC,72641,68881,72640,72641,0,11855,72371,4425,72640,15668,32594,72633,72294,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VT,281001,59877,280998,281001,0,33172,270445,89511,275818,11253,16910,65667,102002,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
VVC,2515,2515,2515,2515,0,2480,2515,2424,0,0,0,2482,2481,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WASH,712,177,712,712,0,67,669,110,0,3,3,630,610,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WCSU,5775,5775,5773,5775,0,1757,5526,3667,4482,20,27,5701,5654,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WCUH,27994,5765,27993,27994,0,6471,27955,3174,19339,339,638,5355,6091,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WCW,10999,10999,10999,10999,10804,10811,10794,892,10887,1925,2246,10921,10686,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WET,4421,0,0,4421,0,3150,4292,3119,0,24,32,4224,4201,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WEWO,1902,0,1902,1902,0,1804,1902,1696,1802,1900,1900,1902,1804,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WFBM,4,4,4,4,0,4,4,4,4,0,0,4,4,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WFU,156,0,125,156,0,151,155,150,122,2,151,156,152,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WGC,4999,0,4999,4999,0,4975,4988,0,4972,0,0,4999,4948,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WGCH,1222,1222,1222,1222,0,784,1220,1020,1214,0,0,1213,1193,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WIS,504031,1,503933,504031,0,482420,501443,170331,383541,181553,192409,501590,474434,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WJC,710,0,710,710,0,623,705,0,0,519,522,709,705,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WNC,6625,0,6625,6625,0,6599,6622,6560,6599,6415,6469,6625,6584,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WSCH,11031,11031,11031,11031,0,0,10984,0,10516,0,0,11020,10929,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WSP,76,0,76,76,0,75,76,76,75,0,0,76,76,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WSTC,1019,1019,1019,1019,1015,1009,1006,8,1011,183,183,1018,981,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WTU,360214,360214,350457,360214,324826,353934,356425,262246,119947,119538,183811,360129,354277,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WVA,12153,0,12153,12153,0,958,11749,13,12152,12,15,4559,1404,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
WWB,4962,0,4962,4962,0,0,0,0,0,0,0,0,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
YM,9204,9204,9204,9204,0,9105,9204,6094,0,0,0,9180,8759,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
YPM,276902,276902,276902,276902,0,143726,207471,181658,179160,5171,14375,193725,159384,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
YU,82636,82636,82636,82636,0,25914,81950,33674,73643,668,670,80922,65886,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
YUO,183,0,183,183,0,183,183,155,183,0,0,183,170,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
NA,1167,10,1167,1167,0,1167,883,509,0,13,37,775,128,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
