institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
CATA,2832,2832,2832,2832,0,2832,2832,1475,0,0,0,2827,2829,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CAU,5377,0,5377,5377,0,1693,5375,1532,2523,273,296,1707,1668,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CBG,68,0,68,68,0,68,68,68,68,68,24,68,68,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CCNL,1067,1067,1067,1067,0,574,924,0,1064,164,164,959,919,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CCSU,1785,1785,1785,1785,0,831,1770,0,1784,50,1120,1771,1731,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CDA,24115,24115,24115,24115,0,23900,24115,16902,0,0,0,24113,24093,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CHAS,152,152,152,152,0,152,152,52,33,66,152,152,152,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CHRB,60439,15,60438,60439,0,25558,46068,4175,54203,7474,8697,34838,31501,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CHSC,74057,74057,74057,74057,0,73719,74057,73217,0,0,0,73820,73863,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CIC,45853,45853,45452,45853,45339,43953,45327,22924,42507,15398,31300,45754,45052,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CINC,41880,0,41879,41880,0,32488,41434,1198,41734,13730,17562,36446,33590,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CLARK-A,7372,7372,7372,7372,0,7033,7372,6513,0,0,0,7333,7355,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CLEMS,80574,0,80309,80574,0,45784,79079,1446,69645,1374,49219,49567,46029,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CM,491803,12464,491803,491796,0,475283,481417,210832,37667,2,232263,486147,466765,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CMC,21861,1815,21861,21861,0,20345,21330,5328,19787,10587,10937,20352,19574,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CMNH,138,138,138,138,0,80,115,0,0,0,0,87,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CNC,8,0,8,8,0,8,8,8,0,6,8,8,8,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
COLO,314618,263954,314618,314618,0,215714,313956,88170,299783,88265,94232,266799,221863,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CONN,3977,0,3977,3977,0,3772,3933,3922,3770,1,1,3887,3682,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CONV,6436,0,6436,6436,0,0,6315,0,6146,0,0,0,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CORT,5336,0,5336,5166,0,5245,5335,683,0,0,414,5336,5326,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CRMO,2649,2649,2649,2649,2624,2628,2644,586,2631,2004,2502,2648,2619,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CSCA,69,0,69,69,0,69,69,69,0,37,66,69,69,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CSU,2525,0,2101,2525,0,2385,2524,1719,1587,0,1821,2259,2359,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CSUSB,2003,2003,2003,2003,0,1976,2003,1407,0,0,0,2003,1941,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
CUP,71997,43,71995,67951,0,55545,61589,917,17617,3373,31228,60292,53589,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DAV,111498,109549,111498,111498,0,111384,110861,28724,1948,93,47536,110906,1780,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DBG,87474,87474,84089,87474,0,80833,84104,70170,78886,9898,14814,85214,85042,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DEK,3801,0,3801,3801,0,3578,3778,3575,3669,840,1026,3706,3632,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DES,85787,1,83484,85787,0,82733,85050,81749,75546,11247,17697,85761,82126,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DEWV,10482,0,10482,10463,0,10456,10482,5043,0,12,2181,10470,10475,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DMNH,48,48,48,48,0,48,39,8,0,0,0,36,43,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DMNS,6,6,6,6,0,6,6,3,0,5,6,6,6,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DOV,23261,0,23261,23261,0,3660,22770,259,23029,43,43,3777,3722,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DS,118417,118417,118417,118417,0,118417,118417,73217,0,0,0,118417,116188,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DSUND,1431,0,1421,1431,0,193,1316,949,5,36,1116,1206,1210,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
DUKE,416536,0,415815,416536,0,281719,413328,147593,75854,26047,141601,282310,273304,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ECON,2519,2519,2519,2519,0,2433,2505,39,1266,128,66,2490,1428,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ECUH,5166,0,5166,5166,0,12,5125,5,4804,53,53,12,12,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
EDOBLM,1328,0,1328,1328,0,1289,1327,1301,0,477,1159,1327,1298,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
EIU,27333,13,15228,27331,0,26407,27129,12292,14154,11041,13954,27191,26756,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
EKY,80178,0,76607,80178,0,75421,80166,2779,74448,12439,13842,79967,76447,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
EMC,9434,0,8835,9434,0,8603,9215,2057,8543,1117,3230,9096,8643,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ENLC,6059,3,5317,6059,0,5931,6059,5758,289,3600,4907,6058,5961,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ENMU,5170,0,5170,5170,0,5106,5170,2,1,2,2,5111,5113,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
EPHR,1746,0,1745,1746,0,1695,1735,9,0,40,44,1743,1692,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ETSU,11116,0,6658,11116,0,7391,10447,3397,0,7,122,7444,7468,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
EVE,1124,434,1124,1124,409,1112,1118,380,245,27,708,1117,1084,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
EWU,6684,6684,6683,6684,6565,6579,6571,6006,6502,502,1186,6683,6517,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
F,918715,918707,711567,918715,0,279704,861908,742406,653567,106888,157253,692170,8,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FARM,47030,0,47026,47030,0,9,46859,4,39443,4,4,9,9,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FH,135679,123956,135679,135230,0,129559,132207,2187,95418,4345,4563,133029,116494,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FHKSC,552,0,0,552,0,140,184,1,0,95,133,243,171,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FHL,3508,3508,3508,3508,2659,3508,3473,3406,3505,952,2492,3508,3293,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FHSM,1,1,1,0,0,1,1,0,1,0,1,1,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FLAS,171310,0,171309,170991,0,63834,164107,74058,127696,7853,41337,164273,158771,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FLD,14619,0,14587,14619,0,14068,14597,5428,1586,93,2107,14251,14190,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FMNH,23355,23355,23354,23355,0,0,23279,0,3091,0,16513,1914,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FSU,165291,84315,165291,165289,0,70215,163019,73159,150158,2005,0,86340,85992,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FTG,540,0,540,540,0,539,540,539,538,9,131,539,518,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
FTU,19346,0,19346,19346,0,1529,18025,1528,18923,211,895,1529,1443,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GA,220444,0,220418,220444,0,209261,215627,6748,180889,0,0,99894,99134,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GAS,35404,0,35404,35404,0,33916,34422,5434,14687,0,0,33300,33848,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GEO,14856,14856,14856,14856,0,13449,12664,2591,9796,0,0,14519,14331,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GH,234691,234691,234691,234691,0,216277,225501,4341,119285,24550,7535,232740,116632,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GMDRC,5498,5498,5498,5498,0,5496,5498,5122,5,5,5,5498,5495,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GMNH,113,113,103,113,0,113,113,100,0,0,0,113,113,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
