institutionCode,variable,counts
USA151,has_collectionCode,3535
USA151,has_catalogNumber,3535
USA151,has_speciesKey,3279
USA151,has_scientificName,3535
USA151,has_acceptedNameUsage,0
USA151,has_locality,1241
USA151,has_higherGeography,0
USA151,has_countryCode,1813
USA151,has_coordinates,796
USA151,has_image,0
USA151,has_dateIdentified,0
USA151,has_identifiedBy,0
USA151,has_recordedBy,0
USA151,has_eventDate,0
USA108,total,1009
USA108,has_collectionCode,1009
USA108,has_catalogNumber,1009
USA108,has_speciesKey,881
USA108,has_scientificName,1009
USA108,has_acceptedNameUsage,0
USA108,has_locality,31
USA108,has_higherGeography,0
USA108,has_countryCode,609
USA108,has_coordinates,2
USA108,has_image,0
USA108,has_dateIdentified,0
USA108,has_identifiedBy,0
USA108,has_recordedBy,0
USA108,has_eventDate,0
RENO,total,82
RENO,has_collectionCode,82
RENO,has_catalogNumber,82
RENO,has_speciesKey,82
RENO,has_scientificName,82
RENO,has_acceptedNameUsage,0
RENO,has_locality,82
RENO,has_higherGeography,0
RENO,has_countryCode,82
RENO,has_coordinates,82
RENO,has_image,82
RENO,has_dateIdentified,3
RENO,has_identifiedBy,82
RENO,has_recordedBy,82
RENO,has_eventDate,81
USA003,total,10397
USA003,has_collectionCode,10397
USA003,has_catalogNumber,10397
USA003,has_speciesKey,10104
USA003,has_scientificName,10397
USA003,has_acceptedNameUsage,0
USA003,has_locality,2350
USA003,has_higherGeography,0
USA003,has_countryCode,8564
USA003,has_coordinates,958
USA003,has_image,0
USA003,has_dateIdentified,0
USA003,has_identifiedBy,0
USA003,has_recordedBy,0
USA003,has_eventDate,0
haw,total,1
haw,has_collectionCode,1
haw,has_catalogNumber,1
haw,has_speciesKey,1
haw,has_scientificName,1
haw,has_acceptedNameUsage,0
haw,has_locality,1
haw,has_higherGeography,0
haw,has_countryCode,1
haw,has_coordinates,1
haw,has_image,0
haw,has_dateIdentified,0
haw,has_identifiedBy,1
haw,has_recordedBy,1
haw,has_eventDate,1
FLAS,total,100576
FLAS,has_collectionCode,0
FLAS,has_catalogNumber,100576
FLAS,has_speciesKey,96658
FLAS,has_scientificName,100576
FLAS,has_acceptedNameUsage,0
FLAS,has_locality,0
FLAS,has_higherGeography,0
FLAS,has_countryCode,100443
FLAS,has_coordinates,20995
FLAS,has_image,75656
FLAS,has_dateIdentified,0
FLAS,has_identifiedBy,0
FLAS,has_recordedBy,100575
FLAS,has_eventDate,98800
F,total,997025
F,has_collectionCode,997025
F,has_catalogNumber,815981
F,has_speciesKey,892225
F,has_scientificName,997025
F,has_acceptedNameUsage,0
F,has_locality,331245
F,has_higherGeography,654704
F,has_countryCode,962091
F,has_coordinates,810528
F,has_image,753934
F,has_dateIdentified,115569
F,has_identifiedBy,172831
F,has_recordedBy,776659
F,has_eventDate,679332
USA004,total,5823
USA004,has_collectionCode,5823
USA004,has_catalogNumber,5823
USA004,has_speciesKey,5709
USA004,has_scientificName,5823
USA004,has_acceptedNameUsage,0
USA004,has_locality,3095
USA004,has_higherGeography,0
USA004,has_countryCode,5552
USA004,has_coordinates,2897
USA004,has_image,0
USA004,has_dateIdentified,0
USA004,has_identifiedBy,0
USA004,has_recordedBy,0
USA004,has_eventDate,0
OPSU,total,2218
OPSU,has_collectionCode,2218
OPSU,has_catalogNumber,2218
OPSU,has_speciesKey,2213
OPSU,has_scientificName,2218
OPSU,has_acceptedNameUsage,0
OPSU,has_locality,0
OPSU,has_higherGeography,0
OPSU,has_countryCode,0
OPSU,has_coordinates,0
OPSU,has_image,0
OPSU,has_dateIdentified,0
OPSU,has_identifiedBy,0
OPSU,has_recordedBy,0
OPSU,has_eventDate,0
SEINet,total,12
SEINet,has_collectionCode,9
SEINet,has_catalogNumber,12
SEINet,has_speciesKey,12
SEINet,has_scientificName,12
SEINet,has_acceptedNameUsage,0
SEINet,has_locality,9
SEINet,has_higherGeography,0
SEINet,has_countryCode,12
SEINet,has_coordinates,12
SEINet,has_image,10
SEINet,has_dateIdentified,7
SEINet,has_identifiedBy,10
SEINet,has_recordedBy,12
SEINet,has_eventDate,11
MCZ,total,8
MCZ,has_collectionCode,8
MCZ,has_catalogNumber,8
MCZ,has_speciesKey,4
MCZ,has_scientificName,8
MCZ,has_acceptedNameUsage,0
MCZ,has_locality,7
MCZ,has_higherGeography,7
MCZ,has_countryCode,7
MCZ,has_coordinates,5
MCZ,has_image,0
MCZ,has_dateIdentified,0
MCZ,has_identifiedBy,8
MCZ,has_recordedBy,8
MCZ,has_eventDate,3
RSA,total,435518
RSA,has_collectionCode,435518
RSA,has_catalogNumber,131050
RSA,has_speciesKey,424050
RSA,has_scientificName,435518
RSA,has_acceptedNameUsage,0
RSA,has_locality,435501
RSA,has_higherGeography,0
RSA,has_countryCode,435485
RSA,has_coordinates,152955
RSA,has_image,57673
RSA,has_dateIdentified,0
RSA,has_identifiedBy,0
RSA,has_recordedBy,435439
RSA,has_eventDate,422011
DBG,total,91458
DBG,has_collectionCode,91458
DBG,has_catalogNumber,85719
DBG,has_speciesKey,83426
DBG,has_scientificName,91458
DBG,has_acceptedNameUsage,0
DBG,has_locality,84470
DBG,has_higherGeography,0
DBG,has_countryCode,87953
DBG,has_coordinates,73598
DBG,has_image,83119
DBG,has_dateIdentified,8028
DBG,has_identifiedBy,18130
DBG,has_recordedBy,89067
DBG,has_eventDate,88786
KSTC,total,50877
KSTC,has_collectionCode,50877
KSTC,has_catalogNumber,50822
KSTC,has_speciesKey,46904
KSTC,has_scientificName,50877
KSTC,has_acceptedNameUsage,0
KSTC,has_locality,50498
KSTC,has_higherGeography,0
KSTC,has_countryCode,48551
KSTC,has_coordinates,22569
KSTC,has_image,0
KSTC,has_dateIdentified,0
KSTC,has_identifiedBy,38196
KSTC,has_recordedBy,50510
KSTC,has_eventDate,50211
WCUH,total,28018
WCUH,has_collectionCode,5769
WCUH,has_catalogNumber,28017
WCUH,has_speciesKey,27676
WCUH,has_scientificName,28018
WCUH,has_acceptedNameUsage,0
WCUH,has_locality,6478
WCUH,has_higherGeography,0
WCUH,has_countryCode,27801
WCUH,has_coordinates,3179
WCUH,has_image,20979
WCUH,has_dateIdentified,285
WCUH,has_identifiedBy,639
WCUH,has_recordedBy,5362
WCUH,has_eventDate,6350
FSC,total,14800
FSC,has_collectionCode,0
FSC,has_catalogNumber,14800
FSC,has_speciesKey,14572
FSC,has_scientificName,14800
FSC,has_acceptedNameUsage,0
FSC,has_locality,9175
FSC,has_higherGeography,0
FSC,has_countryCode,13564
FSC,has_coordinates,1945
FSC,has_image,13249
FSC,has_dateIdentified,856
FSC,has_identifiedBy,3234
FSC,has_recordedBy,9279
FSC,has_eventDate,8945
OKLA,total,48855
OKLA,has_collectionCode,48855
OKLA,has_catalogNumber,48855
OKLA,has_speciesKey,48585
OKLA,has_scientificName,48855
OKLA,has_acceptedNameUsage,0
OKLA,has_locality,0
OKLA,has_higherGeography,0
OKLA,has_countryCode,0
OKLA,has_coordinates,0
OKLA,has_image,0
OKLA,has_dateIdentified,0
OKLA,has_identifiedBy,0
OKLA,has_recordedBy,0
OKLA,has_eventDate,0
UF,total,31080
UF,has_collectionCode,31080
UF,has_catalogNumber,31077
UF,has_speciesKey,7540
UF,has_scientificName,31080
UF,has_acceptedNameUsage,0
UF,has_locality,31011
UF,has_higherGeography,31062
UF,has_countryCode,31042
UF,has_coordinates,27976
UF,has_image,1
UF,has_dateIdentified,0
UF,has_identifiedBy,0
UF,has_recordedBy,28689
UF,has_eventDate,240
USA559,total,420
USA559,has_collectionCode,420
USA559,has_catalogNumber,420
USA559,has_speciesKey,387
USA559,has_scientificName,420
USA559,has_acceptedNameUsage,0
USA559,has_locality,142
USA559,has_higherGeography,0
USA559,has_countryCode,369
USA559,has_coordinates,161
USA559,has_image,0
USA559,has_dateIdentified,0
USA559,has_identifiedBy,0
USA559,has_recordedBy,0
USA559,has_eventDate,0
KSP,total,22819
KSP,has_collectionCode,214
