recordset_UUID,Link,name,IN/OUT,,,
ee8a365e-25fd-4505-a154-af6f290c127a,https://www.idigbio.org/portal/recordsets/ee8a365e-25fd-4505-a154-af6f290c127a,HTSAw - Xiloteca do Trópico Semiárido,OUT,,,
94dd2cee-ed7d-4f98-894f-efafeac92b5b,https://www.idigbio.org/portal/recordsets/94dd2cee-ed7d-4f98-894f-efafeac92b5b,Shirley C. Tucker Herbarium at Louisiana State University,IN,,,
045aa661-f985-4203-80ff-98daafdfe377,https://www.idigbio.org/portal/recordsets/045aa661-f985-4203-80ff-98daafdfe377,CM Herps Collection,IN,,,
cb4882a8-19d3-41a1-9373-c1a868b5ac9b,https://www.idigbio.org/portal/recordsets/cb4882a8-19d3-41a1-9373-c1a868b5ac9b,Canadian Museum of Nature Annelid Collection,OUT,,,
93a2a79b-2728-429b-b095-94ec8dee8a4d,https://www.idigbio.org/portal/recordsets/93a2a79b-2728-429b-b095-94ec8dee8a4d,Diversidad genética en dos especies mezcaleras,OUT,,,
4f8c3594-d7b2-4985-8dd9-1ae77f9187d4,https://www.idigbio.org/portal/recordsets/4f8c3594-d7b2-4985-8dd9-1ae77f9187d4,The Diptera collection (ED) of the Muséum national d'Histoire naturelle (MNHN - Paris),OUT,,,
aced32f9-e511-48c7-8e9e-b625777bdf7f,https://www.idigbio.org/portal/recordsets/aced32f9-e511-48c7-8e9e-b625777bdf7f,University of Illinois Herbarium,IN,,,
7c2c5cdc-80e6-49d5-8e95-08fc7da0a370,https://www.idigbio.org/portal/recordsets/7c2c5cdc-80e6-49d5-8e95-08fc7da0a370,NCSM Paleobotany Collection,IN,,,
82bcf2f2-b2d6-45a5-b0ca-d70d8ab4ebf8,https://www.idigbio.org/portal/recordsets/82bcf2f2-b2d6-45a5-b0ca-d70d8ab4ebf8,New York State Museum,IN,,,
f4f833ea-0abf-4059-948e-132c64dda1be,https://www.idigbio.org/portal/recordsets/f4f833ea-0abf-4059-948e-132c64dda1be,UCM Mammal Collection (Arctos),IN,,,
e2a12ef3-cf03-4ce4-8aff-802ccf2aec1d,https://www.idigbio.org/portal/recordsets/e2a12ef3-cf03-4ce4-8aff-802ccf2aec1d,University of Richmond Herbarium,IN,,,
781b461a-2788-4fa6-b3df-bbed9447f5a3,https://www.idigbio.org/portal/recordsets/781b461a-2788-4fa6-b3df-bbed9447f5a3,"Caliente Field Office, Bureau of Land Management",IN,,,
c22f048c-6f77-4488-a203-865537dddba9,https://www.idigbio.org/portal/recordsets/c22f048c-6f77-4488-a203-865537dddba9,Inventario florístico de la región Calakmul-parte baja de la región Lacandona (Cuenca alta del Usumacinta y Marqués de Comillas),OUT,,,
8ef66009-4c41-45a1-a2c1-4555da6d8e29,https://www.idigbio.org/portal/recordsets/8ef66009-4c41-45a1-a2c1-4555da6d8e29,"Sistematización de la Colección Paleontológica de la Facultad de Ingeniería, UNAM",OUT,,,
2ec3b31e-c86b-4ce9-b265-77c8c3f9643c,https://www.idigbio.org/portal/recordsets/2ec3b31e-c86b-4ce9-b265-77c8c3f9643c,UAM Earth Sciences Collection (Arctos),IN,,,
b5f4526b-f4fb-4d90-8ce0-975e0cda8ff6,https://www.idigbio.org/portal/recordsets/b5f4526b-f4fb-4d90-8ce0-975e0cda8ff6,"Invertebrate Zoology Division, Yale Peabody Museum",IN,,,
66e00116-15fa-4149-a94a-eb91b98b622c,https://www.idigbio.org/portal/recordsets/66e00116-15fa-4149-a94a-eb91b98b622c,Humboldt State University,IN,,,
282fe9c2-d6cb-4325-b3b5-b70ab1d22bbb,https://www.idigbio.org/portal/recordsets/282fe9c2-d6cb-4325-b3b5-b70ab1d22bbb,Western Connecticut State University Herbarium,IN,,,
bc93e4c6-fd85-4412-987f-52f6fa3bb67d,https://www.idigbio.org/portal/recordsets/bc93e4c6-fd85-4412-987f-52f6fa3bb67d,LUSC - Herbário de Lages da Universidade do Estado de Santa Catarina,OUT,,,
8e58cd34-3cbb-46f7-9c25-527251881a6f,https://www.idigbio.org/portal/recordsets/8e58cd34-3cbb-46f7-9c25-527251881a6f,Naturalis Biodiversity Center (NL) - Micropaleontology,OUT,,,
8096525f-6f67-4bd2-a160-48ed4bea8aa7,https://www.idigbio.org/portal/recordsets/8096525f-6f67-4bd2-a160-48ed4bea8aa7,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,OUT,,,
2eb8ff2f-4826-4fc3-be68-22d805bcae88,https://www.idigbio.org/portal/recordsets/2eb8ff2f-4826-4fc3-be68-22d805bcae88,"Rutgers University, Chrysler Herbarium - Lichen Collection",IN,,,
c55ac6d0-180d-41be-829a-e82898c5ca54,https://www.idigbio.org/portal/recordsets/c55ac6d0-180d-41be-829a-e82898c5ca54,Australia's Virtual Herbarium,OUT,,,
4ac45d7e-c6e5-45ea-a0e0-aea6ebe2afcf,https://www.idigbio.org/portal/recordsets/4ac45d7e-c6e5-45ea-a0e0-aea6ebe2afcf,Oskarshamn herbarium (OHN),OUT,,,
39289378-eed8-442c-ba0b-fce8b1679d8f,https://www.idigbio.org/portal/recordsets/39289378-eed8-442c-ba0b-fce8b1679d8f,"Pacific Northwest Herbarium, Western Washington University",IN,,,
6b565194-9707-42da-8052-9f9cf5f9aa60,https://www.idigbio.org/portal/recordsets/6b565194-9707-42da-8052-9f9cf5f9aa60,Ohio State University Herbarium,IN,,,
8919571f-205a-4aed-b9f2-96ccd0108e4c,https://www.idigbio.org/portal/recordsets/8919571f-205a-4aed-b9f2-96ccd0108e4c,Collaborative databasing of North American bee collections within a global informatics network project,IN,,,
4960f30c-c1c7-490e-966a-61ad02969e38,https://www.idigbio.org/portal/recordsets/4960f30c-c1c7-490e-966a-61ad02969e38,Patuxent Research Refuge - Maryland,IN,,,
cd177f63-761b-44f6-866e-ee19d2ac134e,https://www.idigbio.org/portal/recordsets/cd177f63-761b-44f6-866e-ee19d2ac134e,Botanical Research Institute of Texas,IN,,,
205fa34c-2fcb-4492-b992-972b18560f6f,https://www.idigbio.org/portal/recordsets/205fa34c-2fcb-4492-b992-972b18560f6f,Field Museum of Natural History (Botany)  Seed Plant Collection,IN,,,
08adc6ee-21d1-4619-8094-d728747cd54e,https://www.idigbio.org/portal/recordsets/08adc6ee-21d1-4619-8094-d728747cd54e,Computarización del Herbario Ficológico de la Universidad Autónoma de Baja California Sur,OUT,,,
9f3bbc7b-c682-4f66-88b3-48eef3a38f38,https://www.idigbio.org/portal/recordsets/9f3bbc7b-c682-4f66-88b3-48eef3a38f38,City of Alexandria Herbarium,IN,,,
4305303f-976d-4074-accc-91e205435cc8,https://www.idigbio.org/portal/recordsets/4305303f-976d-4074-accc-91e205435cc8,SJRP-Algae - Herbário de algas de São José do Rio Preto,OUT,,,
8f3923b5-4802-40ff-bf98-0acba66691ec,https://www.idigbio.org/portal/recordsets/8f3923b5-4802-40ff-bf98-0acba66691ec,El banco de datos del Herbario HCIB en línea (Fase I): Implementación del Sistema Biótica,OUT,,,
7b1f4ee4-7f50-4c82-9007-ba76528a84df,https://www.idigbio.org/portal/recordsets/7b1f4ee4-7f50-4c82-9007-ba76528a84df,UFACPZ - Herbário da Universidade Federal do Acre,OUT,,,
c44e18ab-837b-4a58-b8df-dc521a173029,https://www.idigbio.org/portal/recordsets/c44e18ab-837b-4a58-b8df-dc521a173029,Flora vascular del cerro El Zamorano,OUT,,,
5d0a9aa8-91f2-4fa4-b4df-554a4221dfcb,https://www.idigbio.org/portal/recordsets/5d0a9aa8-91f2-4fa4-b4df-554a4221dfcb,"Flora del Parque Nacional Cumbres de Monterrey, Nuevo León, México",OUT,,,
