institutionCode,total_idig,has_collectionCode_idig,has_catalogNumber_idig,has_preparations_idig,has_scientificName_idig,has_scientificNameID_idig,has_acceptedNameUsage_idig,has_identificationID_idig,has_locality_idig,has_higherGeography_idig,has_continent_idig,has_countryCode_idig,has_stateProvince_idig,has_county_idig,has_decimalLatitude_idig,has_decimalLongitude_idig,has_coordinates_idig,has_verbatimElevation_idig,has_verbatimDepth_idig,has_image_idig,has_dateIdentified_idig,has_identifiedBy_idig,has_recordedBy_idig,has_eventDate_idig,has_recordNumber_idig,File_idig,total_gbif,has_collectionCode_gbif,has_catalogNumber_gbif,has_preparations_gbif,has_speciesKey,has_scientificName_gbif,has_scientificNameID_gbif,has_acceptedNameUsage_gbif,has_identificationID_gbif,has_locality_gbif,has_higherGeography_gbif,has_continent_gbif,has_countryCode_gbif,has_stateProvince_gbif,has_county_gbif,has_decimalLatitude_gbif,has_decimalLongitude_gbif,has_coordinates_gbif,has_verbatimElevation_gbif,has_verbatimDepth_gbif,has_image_gbif,has_dateIdentified_gbif,has_identifiedBy_gbif,has_recordedBy_gbif,has_eventDate_gbif,has_recordNumber_gbif,File_gbif,month,has_speciesKey_idig,has_speciesKey_gbif
MCZ,3344,3344,3344,3074,3344,0,0,0,2507,2503,2094,2346,1277,738,1920,1920,1918,0,0,0,293,3344,3344,515,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,20,20,20,20,16,20,0,0,0,19,19,19,19,18,12,7,7,7,0,0,0,0,20,20,3,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MDKY,10278,0,10278,0,10278,0,0,0,0,0,10275,10275,10275,10266,0,0,0,0,0,9337,0,0,0,0,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MEM,13570,0,13569,0,13570,0,0,0,19,0,13499,13566,13482,13433,10,10,10,0,0,0,112,112,13570,13189,13215,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MESA,3136,0,3135,0,3136,0,0,0,2961,0,3133,3133,3133,3055,2702,2702,2702,1339,0,574,22,56,3109,2887,3033,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MICH,706343,1,705841,10211,706343,0,0,0,586805,0,627391,639954,584579,396424,191745,191636,191631,50762,1,614301,33732,131178,667069,585632,630104,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,941837,941837,941837,486714,826056,941837,0,0,0,941837,0,909987,909917,815486,582938,302342,302342,302342,82495,0,487937,130114,236297,926634,843179,882656,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MIL,3155,0,3155,0,3155,0,0,0,2806,0,2978,3035,2948,2065,533,533,533,495,0,0,380,2064,3151,3129,2343,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MIN,559294,559294,557460,136358,559294,0,0,0,400745,0,476915,480801,461211,385303,281669,281405,281400,13330,2,325285,30249,34747,469673,418400,457738,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,560127,560127,558318,136358,544796,560127,0,0,0,401183,0,0,482094,461967,385490,281605,281605,281605,13383,2,326057,20170,34745,470537,394334,458726,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
miss,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MISS,79038,0,76120,0,79038,0,0,0,77620,0,78938,79008,78847,78511,23741,23735,23734,95,0,75066,3358,3740,79026,77106,77925,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,55629,55629,55629,0,54864,55629,0,0,0,0,0,0,55629,0,55391,0,0,0,0,0,0,0,0,55629,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MISSA,28369,29,26732,0,28369,0,0,0,23093,0,27565,27863,27424,24678,19394,19396,19394,491,0,26337,865,932,25591,23647,17854,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MNA,36637,18,36346,0,36637,0,0,0,35775,0,36048,36560,36035,35334,21570,21570,21570,23931,0,3714,11889,28965,36150,30086,24559,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MO,4734594,4734594,4734594,0,4734594,0,0,0,4485566,0,4704151,4584813,4392157,2402281,3159262,3159238,3159210,0,0,327874,2565015,2957156,4734568,1,4734591,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,4734422,4734422,4734422,0,3973783,4734422,0,0,0,4485395,0,4703979,4705119,4392025,2402200,3159132,3159132,3159132,0,0,337686,2563193,2957046,4734396,4526952,4734419,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MOAR,25962,0,25098,6,25962,0,0,0,21247,0,22992,23000,23202,22655,20959,20959,20959,327,0,23307,70,157,23107,21389,21107,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MONT,53266,44770,53222,0,53266,0,44112,0,52301,44510,52938,53003,52919,51298,40100,40100,40096,21252,0,52583,24115,27677,53069,51425,52841,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MONTU,65848,64496,65840,0,65848,0,64196,0,63507,64468,65776,65799,65778,64962,64588,64588,64588,42715,0,57417,57029,57492,65756,65238,65780,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MOR,103505,85840,103505,0,103505,0,0,0,95341,0,103303,103346,103093,101546,18063,18063,18063,615,0,58292,3089,16943,103064,101046,101339,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MOT,2488,0,2488,0,2488,0,0,0,2488,0,2344,2484,2418,2051,2487,2487,2487,23,0,2488,1,4,2482,2428,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MOVC,2572,0,0,0,2572,0,0,0,2495,0,2572,2572,2572,2419,2445,2445,2445,0,0,0,2,2,2369,2500,2029,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MSB,43,43,43,43,43,0,0,0,43,43,43,43,43,38,36,36,36,0,0,21,41,43,43,43,4,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,8,8,8,8,0,8,0,0,0,8,8,8,8,8,3,1,1,1,0,0,0,6,8,8,8,4,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MSC,203786,179189,203715,179174,203786,0,0,0,198562,171246,195174,190026,154469,113615,33556,32149,32125,2957,0,24547,11046,11598,197717,192300,19547,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,179159,179159,179088,179143,164612,179159,0,0,0,179013,171219,171213,169818,131765,101649,25897,25897,25897,0,0,0,0,0,178022,174449,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MSUB,13444,0,10747,0,13444,0,0,0,11701,0,12725,13356,12734,10898,73,73,73,1564,0,0,4,4139,11956,12207,9944,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,13469,0,10772,0,13316,13469,0,0,0,11717,0,0,13390,12759,10916,139,139,139,1567,0,0,2,4164,11974,10779,9948,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MSUNH,1384,0,1303,0,1384,0,0,0,1283,0,831,1331,1286,1070,31,31,31,3,0,0,478,646,1342,1342,473,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MU,145035,0,145035,0,145035,0,0,0,61103,0,103185,104997,88020,35640,23092,23072,23070,10092,0,139464,21475,25463,108354,101304,89548,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MUGM,19,19,19,19,19,0,0,0,19,19,19,19,19,19,19,19,19,0,0,0,0,0,18,18,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MUHW,41956,0,41467,159,41956,0,0,0,16001,0,40445,40475,40402,39167,1435,1435,1435,3374,3,40375,5440,8278,16673,15579,14331,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MUR,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
MWCF,5226,0,5226,0,5226,0,0,0,1803,0,5184,5191,5158,2720,78,78,78,691,0,2086,345,1521,1882,1837,227,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
MWI,42366,0,42366,0,42366,0,0,0,40151,0,42076,42091,40782,40183,3987,3986,3986,3373,0,0,42343,42363,42365,41945,35489,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NAVA,12737,0,12609,0,12737,0,0,0,2634,0,12726,12733,12726,12722,2092,2093,2092,1933,0,2062,931,2262,12723,2619,2407,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NCSC,76822,40092,76787,1344,76822,0,0,0,40046,0,74433,75360,74332,63128,3415,3415,3415,8132,0,71478,2471,429,43317,39451,40613,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,77255,40392,77220,1344,74674,77255,0,0,0,40329,0,0,75773,74713,63478,3474,3474,3474,8159,0,71907,2290,430,43621,38700,40911,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NCSLG,4773,0,0,0,4766,0,0,0,4710,0,4703,4703,4701,4692,618,618,617,0,0,0,0,4743,4717,4767,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NCSM,2062,2062,2062,2062,1012,0,0,0,0,0,2050,2050,2048,1989,0,0,0,0,0,0,1589,1791,1895,0,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,4025,4025,4025,2089,2027,4025,0,0,0,1691,0,2077,4009,4008,3702,1128,1128,1128,2,0,1927,1815,3722,3856,1920,1936,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NCSU,4,0,4,0,4,0,0,0,4,0,4,4,4,4,0,0,0,0,0,0,4,4,4,4,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NCU,514059,264,513907,0,514059,0,0,0,233171,0,506253,507693,502067,470719,115356,115350,115350,10458,8,473097,146848,152299,250601,231312,232096,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,429141,264,429066,0,418951,429141,0,0,0,152666,0,0,427210,423962,410527,40435,40435,40435,5837,0,396124,44129,87931,169282,163380,151888,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NCZP,2343,0,1451,0,2343,0,0,0,1423,0,2322,2323,2295,2323,1,1,1,0,0,1271,14,14,2340,2282,2292,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NDA,8379,0,8379,0,8379,0,0,0,5162,0,8374,8379,8221,5007,1212,1212,1212,602,0,8379,5086,5114,5350,5340,5341,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NDOA,1150,0,1150,0,1150,0,0,0,1126,0,1146,1147,1146,1149,1,1,1,117,0,1150,3,1052,1147,1132,1078,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NEB,48000,0,48000,0,48000,0,0,0,25003,0,43271,43832,38909,18707,23388,23385,23385,6602,0,47920,9013,14514,42170,40048,29790,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NEBC,240416,240416,240416,240411,240416,0,0,0,233884,240390,240390,240389,240338,194317,227,226,226,172,0,231270,6894,5064,240274,231856,91235,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,278158,278158,278158,278152,275784,278158,0,0,0,271207,278129,278129,278128,278068,225313,270,270,270,177,0,268376,7424,5302,278001,268169,105906,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NEBK,11186,0,11131,0,11186,0,0,0,10970,0,11033,11033,11046,10276,10,9,9,182,0,3971,1,2948,11038,10960,9227,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NHA,171352,86144,171352,0,171352,0,0,0,119490,0,170024,171200,169975,159228,85152,85152,85152,12510,34,169266,4069,4324,170345,167463,47035,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,57712,0,57712,0,56139,57712,0,0,0,57712,0,0,57696,56853,51438,57662,57662,57662,9783,31,57710,2235,3389,57637,55915,1233,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NHI,8223,0,8223,0,8223,0,0,0,2851,0,3577,3578,3573,3457,2690,2690,2689,7719,0,464,1765,1879,2944,8154,1530,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NLU,10552,0,10551,0,10552,0,0,0,10382,0,10483,10513,9712,8988,330,330,330,121,0,9540,613,649,10545,10392,10414,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NMC,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NMNHI,60,0,0,0,60,0,0,0,59,0,60,60,60,60,12,12,12,55,0,0,19,60,60,59,58,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NMSU,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,3,3,3,0,0,3,0,0,0,2,0,0,3,3,3,1,1,1,0,0,0,0,0,3,3,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NPS,2021,2021,2021,0,2021,0,0,0,1999,0,2020,2020,2020,2019,1992,1992,1992,0,0,0,37,37,2021,1989,1999,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NULL,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
NY,4052916,4052915,4052916,4016487,4052907,0,0,0,2531000,0,2794295,2773125,2452429,1569660,1540792,1540729,1540671,1020366,0,3139934,635312,848328,2807708,2605492,2709626,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,4029219,4029219,4029219,3992964,3831281,4029219,0,0,0,2522677,0,2784633,2777956,2447807,1567415,1543169,1543169,1543169,1023624,0,3119239,635075,847851,2797199,2597618,2699640,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
NYS,43264,39805,43264,0,42739,0,0,0,42108,0,41184,41407,40445,36409,0,0,0,18064,0,0,0,0,36472,37130,33349,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
OBI,46093,44971,45767,0,46093,0,0,0,45897,0,46052,46053,46052,46044,24774,24773,24772,16154,0,1009,226,417,46040,45702,42774,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,62893,0,58867,0,61414,62893,0,0,0,62567,0,0,62792,62499,61364,38699,38699,38699,19956,0,58664,6519,18423,62803,61415,61981,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
ODU,1729,0,1729,0,1729,0,0,0,1607,0,1685,1698,1679,1567,128,128,128,163,0,0,46,149,1703,1604,1371,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
OMA,18989,0,18989,0,18989,0,0,0,18926,0,18310,18579,18383,14318,5248,5248,5248,0,0,0,0,0,18967,18829,16716,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
OMNH,5,5,5,0,5,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,2080,2080,2080,0,179,2080,0,0,0,0,0,0,2002,1909,1824,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
OS,49574,30340,49572,0,49574,0,0,0,3664,0,43208,48554,43025,38000,25417,25417,25417,264,0,47617,3451,9227,40561,35536,32903,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
OSC,82451,7,82451,0,79267,0,0,0,82024,0,80308,80757,79202,63730,35354,35332,35287,24655,0,9744,6320,6207,79499,65945,44911,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,165591,165591,165591,0,163714,165591,0,0,0,165145,0,165585,165589,165591,161844,150453,150453,150453,2,0,3,162890,165591,165469,162076,2,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
OSUC,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
PAC,49629,0,49629,0,49629,0,0,0,15671,0,46780,49601,49576,16501,499,498,498,1473,3,47811,113,166,16901,15730,15940,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
PASA,2394,2394,2394,0,2394,0,0,0,2363,0,2394,2394,2394,2394,906,906,906,474,0,0,0,0,2017,2273,375,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
PEMB,4469,0,4469,0,4469,0,0,0,918,0,4465,4468,4468,4436,403,403,403,15,0,4255,975,977,989,916,919,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
PERTH,131,0,0,0,131,0,0,0,131,0,131,131,0,0,90,90,90,0,0,130,3,1,131,129,130,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
PGM,7591,7591,7591,0,7591,0,0,0,7591,0,7591,7591,7591,7591,3140,3140,3140,44,0,0,0,0,7589,7587,2169,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
PH,584460,1,584460,3,584460,0,0,0,297871,0,566210,568844,555742,313246,59621,59564,59548,28559,7,541254,16342,29921,336963,310675,316312,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
PHw,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
PLU,7087,7087,7083,0,7087,0,7027,0,6982,7027,6998,7027,6998,6292,762,762,762,618,0,7031,405,1431,7036,6916,7040,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
POM,205936,87555,121543,118371,205936,0,0,0,205064,0,205721,205750,205263,198219,67406,67404,67403,38457,0,0,0,0,205895,201369,205167,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,121104,121104,40288,121068,117623,121104,0,0,0,121090,0,0,121080,120588,113094,6771,6771,6771,0,0,28510,0,0,121072,110034,121063,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
PRC,211145,211145,211145,0,211145,0,0,0,209256,0,211143,211143,211143,211145,38382,38382,38382,0,0,128493,5,210205,211141,207180,211133,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,487353,487275,487353,487353,472569,487353,0,0,0,484100,487121,487120,487115,484366,341097,127969,127969,127969,0,0,0,380775,433651,483190,483271,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
