uuid,name
3fe3a250-0f48-4a9b-bb71-36d798694912,HUFSJ - Herbário da Universidade Federal de São João del-Rei
2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,University of Delaware Insect Research Collection
d8862887-ff5c-4caa-9d61-f1958887ebc1,PACA-AGP - Herbarium Anchieta
b2b294ed-1742-4479-b0c8-a8891fccd7eb,Robert K. Godfrey Herbarium  at Florida State University
d0c73947-fce1-4914-abf0-280584f89510,LSUMZ Herps Collection
fa1cd665-255d-42d1-81be-a68a8870904a,Kathryn Kalmbach Herbarium
2417de25-d725-48fc-b969-843ad28a4450,Herbarium specimens of CBNA (GAP)
c4b0239c-44fd-417a-8885-d14830c11ffb,Ictiofauna balseana y helmintos parásitos asociados
765aa536-b79e-4794-a0d2-40a160233922,"Computarización de la colección de plantas acuáticas mexicanas del Herbario Nacional  (MEXU), 2da Etapa"
1c0e1256-2e97-4332-a9ae-d600e9d293ab,Herpetofauna del corredor biológico Chichinautzin y la Sierra de Huautla en el estado de Morelos
b89eca60-6b60-480b-a4aa-143132d2d973,"Ictiofauna del sistema lagunar costero Chacahua-La Pastoría, Oaxaca"
e78939ad-42a2-4908-b914-baf5a33fabe0,"Digitalización de la colección FITO-UBIPRO, de las enfermedades y sus agentes causales, de los cultivos agrícolas de la región centro de México"
8fc295af-ccc7-4029-ab7d-d25a02ec9d4a,"Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México, segunda etapa 2008-2009"
6b546055-ecf5-40dd-a091-67fe6f9531f4,"Plant Bug Planetary Biodiversity Inventory Project PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae)"
932e8ecc-fb16-4ce1-9863-e0e586e3ab34,Naturalis Biodiversity Center (NL) - Tunicata
46be8190-0533-4fc7-9cab-1faa26d9906e,HSU Wildlife Birds
799c4f6d-e178-4274-a05e-2a49f53e7510,MVZ Mammal Observations (Arctos)
ce0c9488-97f0-432a-a0fa-d204230366be,UAIC Ichthyological Collection
91ee81ef-f00b-42e5-914a-fd26bd58ad5b,MSB Mammal Observations (Arctos)
992d3eee-8098-4e87-97b1-d2cfb9508e7b,Herbarium specimens of Bamboo collection Prafrance Générargue (BAMBO)
b94e389e-a791-4d2b-83de-0d705b5f2e88,Distribución potencial de plagas de Chrysomelidae (Insecta: Coleoptera)
3d31a3c7-b074-4ab9-a2a2-7f491f9446a9,"Estudio de la variabilidad genética de Fundulus lima y sus relaciones filogeográficas con otros fundúlidos (Pisces: Fundulidae) de la Península de Baja California, México"
641115f4-abb8-4658-8f38-2db1e7b17270,Colección de los peces nativos de Sonora
6e5548ba-77a9-43e0-b913-0a5ad1b2e4b2,"AMNH Vertebrate Paleontology WIS-Fossil Fish, Turtle and Mosasaur Collection"
