institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
VMNH,4,4,4,0,0,4,0,0,0,4,4,4,4,4,4,0,0,0,0,0,4,0,4,4,4,0
USA005,14674,14674,14674,0,14311,14674,0,0,0,241,0,0,9499,0,0,48,48,48,0,0,0,0,0,0,0,0
USA033,8361,8361,8361,0,8360,8361,0,0,0,2367,0,0,7472,0,0,927,927,927,0,0,0,0,0,0,0,0
LSU,163406,163406,163406,1837,161038,163406,0,0,0,159710,0,0,161772,158791,152330,57400,57400,57400,5138,0,0,52585,65362,161780,155045,161564
UHIM,43,43,43,0,10,43,0,0,0,22,0,0,40,40,32,0,0,0,0,0,43,0,0,39,40,0
UAMb,74529,74529,74529,73978,70052,74529,0,0,0,74529,74529,73686,74133,66422,716,29714,29714,29714,0,0,57013,74513,74529,74529,74402,10
BUF,53787,53787,53787,0,41371,53787,0,0,0,53624,53754,46202,46135,44018,39594,0,0,0,705,0,0,2417,5132,43291,42662,15786
UOMNH,18705,18705,18703,15667,3856,18705,0,0,0,8454,9739,17722,17682,16758,12535,1011,1011,1011,0,0,969,0,10610,15993,382,0
UCMP,44575,44575,44575,44095,14196,44575,0,0,0,44548,0,43358,43319,42418,40797,7204,7204,7204,0,6820,684,0,0,31003,0,0
NMMNHS,3622,3622,3622,3622,3386,3622,0,0,0,3622,3622,3621,3501,3450,3314,564,564,564,0,0,1,3621,3622,3442,3622,1763
POM,121104,121104,40288,121068,117623,121104,0,0,0,121090,0,0,121080,120588,113094,6771,6771,6771,0,0,28510,0,0,121072,110034,121063
CHSC,102821,102821,102821,0,101515,102821,0,0,0,102380,0,0,102749,102624,99927,85236,85236,85236,66050,4,29380,10574,33865,102510,102245,92469
BEREA,25984,0,25984,0,25926,25984,0,0,0,1983,0,0,25935,25901,25737,14,14,14,6,0,23452,4,53,2017,1993,1942
KHD,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1
UTEP,82569,82569,82569,82569,79804,82569,0,0,0,82569,82569,82268,82553,81571,74290,34820,34820,34820,0,0,309,67743,82569,82567,82569,68164
USA016,49784,49784,49784,0,48703,49784,0,0,0,21452,0,0,46097,0,0,7250,7250,7250,0,0,0,0,0,0,0,0
UMMZ,16,16,16,16,15,16,0,0,0,15,0,15,15,10,0,3,3,3,0,0,0,0,0,14,1,0
CAS,607615,607615,607615,591,582667,607615,0,0,0,607568,606910,606818,606539,597545,522529,126538,126538,126538,364411,0,15806,0,178152,606851,599339,607023
USA937,2542,2542,2542,0,2542,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWOSU,93,93,93,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,3,3,3,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0,0
ASU,377252,258569,238209,0,351192,377252,0,0,0,365417,0,0,376307,371266,271423,316822,316822,316822,112523,3,136830,40156,214498,376667,366578,348492
USA962,510,510,510,0,510,510,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0
SDSM,146,146,146,145,8,146,0,0,0,0,139,139,139,139,126,0,0,0,0,0,0,0,0,0,59,0
FH,236827,236827,236827,236592,224380,236827,0,0,0,233791,235628,235620,232222,215181,120808,3658,3658,3658,2689,0,152931,7053,6890,234838,203158,117543
AMES,51327,51327,51327,51289,48056,51327,0,0,0,46948,50155,50155,48643,31513,9496,1172,1172,1172,13448,0,43752,13242,4172,49702,44236,38398
CSU,9722,9722,9722,0,9621,9722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTSRV,218406,218406,218406,0,217002,218406,210688,0,0,0,0,215697,196856,196856,196856,0,0,0,0,0,0,0,0,80270,199546,0
UCSC,13288,32,4533,3,12254,13288,0,0,0,13151,3,3,13243,13157,13143,9240,9240,9240,2419,0,4587,533,620,13254,12872,13111
VT,287675,0,287672,7,123974,287675,0,0,0,44233,0,0,280921,124803,77687,96031,96031,96031,9250,8,280704,10237,22256,78820,87364,65954
YPM,245501,245501,245501,6611,144838,245501,0,0,0,115029,177277,176102,177121,170878,143944,161494,161494,161494,7556,7,155322,2836,7577,163670,125628,47396
USA026,14341,14341,14341,0,12739,14341,0,0,0,4727,0,0,12691,0,0,4457,4457,4457,0,0,0,0,0,0,0,0
UWBM,297160,297160,297160,0,278692,297160,0,0,0,297055,15,3,296277,295382,243202,145773,145773,145773,1,0,0,86184,162452,297119,293499,0
UAM,205685,205685,205685,205575,195501,205685,0,0,0,205685,205685,136055,136065,135411,1564,126844,126844,126844,0,0,173287,200302,205685,205681,200029,742
UTC,2942,2942,2934,2,2011,2942,0,0,0,2876,0,0,2935,2700,2405,1580,1580,1580,84,0,2,108,254,2933,2448,1495
AMNH,84,77,84,2,41,84,0,0,0,70,0,0,78,73,71,4,4,4,0,0,1,53,54,74,0,0
MO,4752139,4752139,4752139,0,3985460,4752139,0,0,0,4502944,0,4721527,4722746,4407898,2412751,3169229,3169229,3169229,0,0,355660,2568969,2963388,4752114,4543895,4752136
BRU,15388,0,15388,0,14309,15388,0,0,0,5289,0,0,14340,12518,8448,14295,14295,14295,9,0,15365,0,199,14012,8909,186
USA047,4850,4850,4850,0,3838,4850,0,0,0,465,0,0,3813,0,0,37,37,37,0,0,0,0,0,0,0,0
USA476,39,39,39,0,39,39,0,0,0,39,0,0,39,0,0,39,39,39,0,0,0,0,0,0,0,0
COA,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0
UTEX,1916,0,1916,1911,968,1916,0,0,0,0,0,1473,1476,1035,0,0,0,0,0,0,0,0,0,1564,0,1261
RLMC,983,0,983,983,879,983,0,0,0,983,0,0,983,983,983,981,981,981,385,0,0,0,983,983,982,0
OUIP,2,2,2,2,0,2,0,0,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0
Milwaukee Public Museum (MPM),126115,126115,126115,0,116782,126115,0,0,0,0,125725,125719,125188,121808,113536,31093,31093,31093,0,0,0,17,17,125044,121250,85484
NPS,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
UCONN,2,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0
MISS,55629,55629,55629,0,54864,55629,0,0,0,0,0,0,55629,0,55391,0,0,0,0,0,0,0,0,55629,0,0
DMNS,10,10,10,2,0,10,0,0,0,6,2,1,6,5,4,4,4,4,0,0,0,2,10,9,4,0
VPI,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0
USA174,3760,3760,3760,0,3760,3760,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0
