institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate
bing,19758,0,19758,19758,0,11033,11841,5081,18925,7846,10283,11347,10951
ufsj,10576,10576,10576,9998,0,9934,17,5542,0,5966,6193,10576,0
guam,4748,4748,4748,4748,0,4747,3861,4470,2694,4745,4636,4653,4717
utfpr,6137,6137,6137,5856,0,5591,1,3201,0,5226,5497,6137,0
fcm-uabc,1665,1665,1665,1665,1654,1665,1665,1665,0,0,1665,1665,1665
cbg,68,0,68,68,0,68,68,68,68,68,24,68,68
ihne,19150,19150,19150,19150,19072,19150,19150,17397,0,0,19150,19150,19145
suu,5713,0,5637,5713,0,5100,5469,1160,1015,5402,5436,5485,5334
mel,880163,880163,880163,880163,0,870738,876273,770099,0,470012,518924,874521,728677
vpi,33599,1,31874,33479,0,6110,33599,3133,19835,257,5367,6131,6067
avch,2111,0,2111,2111,0,0,2111,0,1071,0,0,0,0
ummz,128,128,128,128,0,128,124,22,0,0,0,128,38
uhim,10,10,10,10,0,0,10,0,10,0,0,10,10
udesc,7385,7385,7385,7191,0,5224,0,460,0,1458,6021,7335,0
hlsd,3542,0,3542,3542,0,379,2456,15,3520,165,1633,2712,2360
ufsm,10674,10674,10674,10246,0,6513,30,580,0,4922,9536,10649,0
tu,107,107,107,107,39,40,54,46,0,0,40,107,1
ad-c,9,9,9,9,0,9,9,9,0,8,9,9,9
vdb,156135,3927,156132,156135,0,11623,156126,632,152624,139719,140987,12458,11667
duke,416536,0,415815,416536,0,281719,413328,147593,75854,26047,141601,282310,273304
arch,4723,4723,4723,4723,0,4285,4714,4,4288,429,679,4681,4282
sbt,5446,5446,5446,5446,0,279,4497,0,0,538,4684,5194,0
ledlie,1402,0,0,1402,0,1402,1402,1,0,0,1402,1402,1395
qvmag,45,45,45,45,0,45,45,25,0,0,0,0,0
dewv,10482,0,10482,10463,0,10456,10482,5043,0,12,2181,10470,10475
plu,7087,7087,7083,7087,7028,6971,7027,770,7020,405,1431,7036,6916
rm,6129,6,6129,6129,0,9,6125,3,6124,5,5,10,10
tlu,5389,5389,0,5389,0,5362,5388,5254,0,142,167,5389,5360
nmnh-si,583,583,583,583,583,583,581,538,0,0,583,583,569
msc,203786,179189,203715,203786,0,198562,190026,32125,24547,11046,11598,197717,192300
soc,18227,18227,18227,18227,18094,17633,18207,1315,16755,9001,17673,18227,18111
iea-uat,3988,3988,3988,3988,3107,3988,3988,3980,0,0,3988,3988,3988
igl-unam,6905,6905,6905,6905,5355,6905,6843,3439,0,0,6905,6905,1155
tac,2096,0,2096,2096,0,1749,2085,385,0,1913,1925,2083,2052
harvard university,21323,21323,21323,20843,0,21298,21035,1,11163,17,13,21301,19857
scir,1296,0,1296,1296,0,1275,1273,1275,1282,65,54,1291,1275
ibe,13908,0,13908,13908,0,243,13816,23,13556,1235,1585,13670,13268
fundação universidade federal de mato grosso do sul (ufms),65914,65914,65914,63846,0,56263,1014,39575,0,35575,40693,65724,0
memorial university of newfoundland,1739,1739,1739,1739,0,1684,1381,443,0,273,998,1713,1697
salk,500,0,500,500,0,472,500,466,475,468,473,499,478
mctc,13798,0,13798,13798,0,13086,13101,6658,13797,35,175,13677,13187
cib-uaem,568,568,568,568,524,568,568,566,0,0,568,568,568
msunh,1384,0,1303,1384,0,1283,1331,31,0,478,646,1342,1342
inecol,182125,182125,182125,182125,170283,182125,181321,164499,0,0,182116,182125,180305
ind,153492,138,153414,153492,0,131246,151775,44738,147638,33333,34430,142991,140136
gas,35404,0,35404,35404,0,33916,34422,5434,14687,0,0,33300,33848
pontifícia universidade católica do rio de janeiro,7216,7216,7216,6992,0,5145,27,1337,0,2824,4501,7157,0
melu,12938,12938,12938,12938,0,12884,12880,11436,0,3255,4838,11988,11163
nda,8379,0,8379,8379,0,5162,8379,1212,8379,5086,5114,5350,5340
ncsm,1852,1852,1852,1162,0,1765,1850,3,0,1406,1294,1703,0
uncc,9590,9590,9590,9590,0,8550,9555,1726,6987,119,119,9589,8533
jotr,4358,4358,4358,4358,0,4358,4358,4275,0,0,0,4357,4357
jtp,1,0,1,1,0,1,1,1,0,0,0,1,1
ucht,43163,1,42101,43163,0,6837,42684,33,9947,687,745,9007,8642
"escola superior de agricultura luiz de queiroz, esalq",143300,143300,143300,123930,0,48764,2710,20920,0,55144,79454,133056,0
cmn,165827,165827,165827,165827,0,136128,163378,119997,49537,63569,92891,148535,147693
uaah,11201,11201,11201,11201,11033,10568,11194,10508,6800,3644,4471,11113,11144
sfv,7201,7201,7201,7201,0,7189,7201,5646,0,0,0,7201,7184
mu,145035,0,145035,145035,0,61103,104997,23070,139464,21475,25463,108354,101304
cenargen,108834,108834,108834,107141,0,106281,10395,70325,0,45429,86991,108834,0
sjsu,10115,10115,10115,10115,0,10103,10115,5496,0,0,0,10115,10114
sau,4472,0,0,4472,0,4266,4359,4167,0,174,255,3188,4293
amnh,5704,5400,5703,5407,0,4517,5094,360,613,2098,2639,2457,286
mhn-uabcs,1589,1589,1589,1589,1053,1589,1589,1589,0,0,1589,1589,1589
uf,20111,20111,20109,20111,0,15235,19794,17452,1,0,0,18534,3307
jardim botânico de brasília,33991,33991,33991,32675,0,32187,204,18538,0,27568,31751,33991,0
sfsu,34336,0,34318,34336,0,26138,27120,21786,33545,1116,26209,34269,33219
khd,1,1,1,1,0,1,1,0,1,0,0,1,1
ttrs,10505,10505,10505,10505,0,10383,10505,10459,10043,0,0,10445,507
zmuc,12886,12886,12886,12886,0,12877,12876,1,0,0,0,12872,22
ad-a,123,123,123,123,0,123,123,122,0,5,123,123,122
fpl-usda,1,1,1,1,1,1,0,0,0,0,1,1,0
cibyc-uaem,14004,14004,14004,14004,13929,14004,14004,14001,0,0,14004,14004,13978
montu,64671,63319,64663,64671,63023,62413,64619,61286,55771,56808,57280,64577,64059
cmc,21861,1815,21861,21861,0,20345,21330,5328,19787,10587,10937,20352,19574
pasa,2394,2394,2394,2394,0,2363,2394,906,0,0,0,2017,2273
hcoa,665,0,665,665,0,659,664,659,577,522,597,557,650
"",4931282,4929699,1593,4930782,0,4106168,3543355,962416,0,509807,980760,4880999,4009518
swrs,1670,0,1670,1670,0,1648,1670,1,0,1629,1663,1669,1645
uson,21327,329,21316,21327,0,21167,1217,20251,18,187,189,21323,21021
ufg,24864,24864,24864,23435,0,14381,19,8247,0,17212,17110,24864,0
ke,15242,0,14973,15242,0,15242,15221,7365,0,0,0,15241,15138
sbbg,132162,99909,131767,132162,0,131639,131805,92516,0,12138,15379,131867,130536
enmu,5170,0,5170,5170,0,5106,5170,2,1,2,2,5111,5113
usfws,5062,5062,5062,5062,0,4929,5062,4926,4513,4455,4764,5062,4929
dek,3801,0,3801,3801,0,3578,3778,3575,3669,840,1026,3706,3632
jbrj,607864,607864,607864,607864,27,520124,10546,186930,425975,400823,425166,596414,532750
"universidade federal rural de pernambuco, ufrpe",22693,22693,22693,22086,0,16905,5,3183,0,17791,17579,22692,0
mcn/fzbrs,1126,1126,1126,1126,0,1125,0,827,0,0,1116,1116,0
cirpas-inifap,636,636,636,636,555,636,636,635,0,0,636,636,636
