institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate
sama,772,772,772,772,0,0,647,567,0,265,368,693,418
usam,621,0,621,621,0,580,600,588,607,0,7,548,529
ad,632199,632199,632199,632199,0,625965,631579,612207,0,495589,632099,632199,614130
"universidade federal do ceará, ufc",61473,61473,61473,60456,0,57439,127,15395,0,48266,51088,61473,0
uomnh,10417,10417,10415,9593,0,10329,9047,1265,0,0,5995,8929,0
ufop,27947,27947,27947,27170,0,22340,5,3315,0,19372,20522,27947,0
bpbm,431733,431733,431733,431733,0,424060,418110,89149,1,233738,279032,427902,393743
uark,2727,0,2727,2727,0,2712,2538,1171,2727,1503,2635,2710,2665
ltb,5106,5106,5106,5106,0,5083,5095,4997,0,1185,1721,5082,5003
university of calgary,1650,1650,1650,1649,1582,1630,1650,1645,0,1650,605,1649,1570
fb-uv,10,10,10,10,10,10,10,2,0,0,10,10,10
rmbl,6937,0,6900,6937,0,6824,6937,3591,6759,2728,2833,6932,6824
dov,23261,0,23261,23261,0,3660,22770,259,23029,43,43,3777,3722
osc,82451,7,82451,79267,0,82024,80757,35287,9744,6320,6207,79499,65945
svg,4793,4793,4793,4793,0,4770,4770,4756,0,4766,4793,4793,0
iizd-uaslp,215,215,215,215,214,215,215,215,0,0,215,215,214
uwbm,19,19,19,19,0,19,19,16,0,0,0,13,8
cda,24115,24115,24115,24115,0,23900,24115,16902,0,0,0,24113,24093
hpsu,15804,15804,15804,15804,15668,15420,15718,6494,12234,4814,9662,15736,15504
eve,1124,434,1124,1124,409,1112,1118,380,245,27,708,1117,1084
university of alberta museums,88519,88519,88519,88519,0,74834,87541,55262,0,22974,44398,87553,87986
nfh,688,688,688,688,0,688,688,688,0,688,0,688,0
hu,3520,3520,3520,3520,2303,3520,3520,3316,0,0,3520,3520,3520
ftg,540,0,540,540,0,539,540,539,538,9,131,539,518
mcz,3344,3344,3344,3344,0,1799,1799,1454,0,293,3344,3344,3344
fc-unam,49567,49567,49567,49567,43564,49567,49241,49018,0,0,49567,49567,48636
uefs,249770,249770,249770,237729,0,216426,2743,171104,0,110635,110186,248628,0
mn,63425,63425,63425,61400,0,18522,2142,2865,0,29057,33800,61797,0
vale,5060,5060,5060,5060,5025,4717,5053,3293,4726,96,4172,5058,4960
rbg,2088,2088,2088,2088,1724,2088,1969,1693,0,0,2088,2088,2088
fa-uas,12725,12725,12725,12725,12643,12725,12725,12712,0,0,12725,12725,12699
ewu,6684,6684,6683,6684,6565,6579,6571,6006,6502,502,1186,6683,6517
cnc,8,0,8,8,0,8,8,8,0,6,8,8,8
srp,94195,71427,83052,94195,67922,80817,82362,56999,79163,12028,32256,82336,82091
"sel, flas",9,0,9,9,0,7,9,4,7,0,5,9,7
tlax,267,267,267,267,267,267,267,267,0,0,267,267,267
jardim botânico plantarum,13661,13661,13661,13236,0,13535,1202,1670,0,9978,10057,13655,0
université laval,41675,41675,41675,41675,0,41675,41509,33688,0,8372,41667,41674,41622
ill,109602,0,109602,109602,0,18255,46044,2359,102512,2545,6274,33423,31292
sim,23935,0,23935,23935,0,20184,23436,10445,21315,6,30,23905,20551
fhksc,552,0,0,552,0,140,184,1,0,95,133,243,171
nmc,1,1,1,1,0,1,1,0,0,0,0,1,1
uag,69,69,69,69,69,69,69,69,0,0,69,69,68
ttu,10,10,9,10,0,8,10,8,0,0,1,3,1
iap,102928,102928,102928,100992,0,69316,11078,5789,0,66243,85703,101243,0
dav,111498,109549,111498,111498,0,111384,110861,28724,1948,93,47536,110906,1780
des,85787,1,83484,85787,0,82733,85050,81749,75546,11247,17697,85761,82126
neb,48000,0,48000,48000,0,25003,43832,23385,47920,9013,14514,42170,40048
fld,14619,0,14587,14619,0,14068,14597,5428,1586,93,2107,14251,14190
ibt,73935,73935,73935,73114,0,59988,28429,32008,0,20523,41078,73765,0
cort,5336,0,5336,5166,0,5245,5335,683,0,0,414,5336,5326
fi-unam,98,98,98,98,15,98,98,42,0,0,98,98,0
cm,491803,12464,491803,491796,0,475283,481417,210832,37667,2,232263,486147,466765
ksp,25104,214,18000,25104,0,24211,25076,11671,5584,1952,2938,25003,24609
madug-ugto,2382,2382,2382,2382,1721,2382,314,106,0,0,2382,2382,172
c,103599,103546,103599,103599,0,103539,103072,102204,0,53,98637,103388,6937
pemb,4469,0,4469,4469,0,918,4468,403,4255,975,977,989,916
aasu,5061,0,5061,5061,0,5010,5056,4,0,0,0,5008,4971
bru,15730,0,15730,15730,0,5889,14130,14457,15703,2,193,14522,11527
mor,103505,85840,103505,103505,0,95341,103346,18063,58292,3089,16943,103064,101046
boon,15255,0,14638,15255,0,5326,15153,3375,10725,197,462,5644,5374
istc,6788,0,0,6788,0,4167,4857,1,0,0,0,4903,4896
brock university (bu),86,86,86,86,0,32,85,86,0,84,84,84,84
logan,3,3,3,3,0,0,3,0,0,0,0,0,0
ph 987012,1,0,1,1,0,1,1,0,1,0,0,1,1
econ,2519,2519,2519,2519,0,2433,2505,39,1266,128,66,2490,1428
ufrpe,36398,36398,36398,35356,0,31004,282,11085,0,21464,28288,36273,0
universidade federal do pará,10183,10183,10183,9058,0,9946,0,8742,0,6522,6618,10183,0
awc,1662,0,1634,1662,0,1588,1642,1196,1607,74,222,1660,1632
mil,3155,0,3155,3155,0,2806,3035,533,0,380,2064,3151,3129
ups,529760,529760,529760,529760,0,501195,502143,18959,0,59273,82291,514559,488183
ga,220444,0,220418,220444,0,209261,215627,6748,180889,0,0,99894,99134
iac,56758,56758,56758,54126,0,46098,4302,49846,0,54475,56640,56750,0
westfield state university,11031,11031,11031,11031,0,0,10984,0,10516,0,0,11020,10929
balt,27690,0,18608,27690,0,26396,27554,166,15751,6606,11879,26960,25967
lsum,14555,14555,14555,14555,0,14209,14336,13766,14467,456,5491,14398,14338
nps,2021,2021,2021,2021,0,1999,2020,1992,0,37,37,2021,1989
os,49574,30340,49572,49574,0,3664,48554,25417,47617,3451,9227,40561,35536
urv,2261,0,2261,2261,0,2246,2261,262,2249,1845,1904,2260,2240
wfu,156,0,125,156,0,151,155,150,122,2,151,156,152
gmnh,113,113,103,113,0,113,113,100,0,0,0,113,113
lsu,168634,168634,168634,168634,0,159481,168554,57558,154322,61137,65580,168610,165116
cmnh,138,138,138,138,0,80,115,0,0,0,0,87,0
tex,1,1,1,1,0,1,1,0,1,1,1,1,1
arizona state,1,0,0,1,0,1,1,0,0,0,0,0,1
vt,241775,20651,241772,241775,0,25254,231219,55453,238782,9483,15053,49612,65337
ima,52226,52226,52226,46970,0,47471,97,33891,0,29591,32063,52226,0
unesp-ibb,2478,2478,2478,2446,0,1633,497,1182,0,299,524,1574,0
reserva natural vale,15935,15935,15935,15914,0,7156,96,2428,0,14307,14378,15935,0
troy,14534,0,14534,14534,0,14534,14534,4971,14534,0,0,14533,0
sdnhm,173,173,173,173,173,173,173,161,0,0,173,173,172
yuo,183,0,183,183,0,183,183,155,183,0,0,183,170
fz-uach,866,866,866,866,857,866,866,866,0,0,866,866,866
cimmyt,10617,10617,10617,10617,10611,10617,10617,10613,0,0,10617,10617,10508
universidade federal de jataí,8576,8576,8576,8187,0,8549,0,6871,0,1293,3793,8576,0
fprl-bre,58,58,58,58,49,58,9,0,0,0,58,58,0
gh,234691,234691,234691,234691,0,216277,225501,4341,119285,24550,7535,232740,116632
mwi,42354,0,42354,42354,0,40148,42079,3988,0,42331,42351,42353,41943
uamb,74247,74247,74247,74247,0,74247,72917,29489,56788,74236,74247,74247,74247
wri-ku,114,114,114,114,100,114,1,0,0,0,114,114,0
unb,185589,185589,185589,177620,0,163224,9642,97067,0,83375,149918,185580,0
university of new hampshire,86144,86144,86144,86144,0,34388,86136,65,84560,836,836,85250,84581
jeps,109684,109684,109684,109684,0,109173,109684,90934,0,0,0,109671,108813
vdbbrit,1,1,1,1,0,1,1,0,0,1,1,1,1
cau,5377,0,5377,5377,0,1693,5375,1532,2523,273,296,1707,1668
cicb-uatx,2024,2024,2024,2024,1800,2024,2024,1994,0,0,2024,2024,2020
csusb,2003,2003,2003,2003,0,1976,2003,1407,0,0,0,2003,1941
fb-umsnh,365,365,365,365,364,365,365,322,0,0,365,365,363
wfbm,4,4,4,4,0,4,4,4,4,0,0,4,4
ufpr,88732,88732,88732,87153,0,83008,2640,21492,0,69285,76706,88698,0
usp,169181,169181,169181,167466,0,108359,7803,75302,0,106823,145423,166831,0
no aplica,375,375,375,375,363,375,375,375,0,0,375,375,375
ucs,48792,48792,48792,47972,0,41633,3414,9738,0,35253,39852,48791,0
uepa,8583,8583,8583,8317,0,7514,0,8583,0,1887,5833,8583,0
kanu,1184,1184,1184,1184,0,1178,1160,1181,0,0,0,0,0
isc,102139,0,98333,102139,0,54532,81213,34946,53217,8462,25311,77281,74922
mpm,107620,107620,107608,107587,0,0,106127,2057,0,0,0,106633,94882
nlh,6315,6315,6315,6315,0,6294,6315,6315,0,6315,237,6315,0
mugm,19,19,19,19,0,19,19,19,0,0,0,18,18
unicamp,186874,186874,186874,181620,0,176941,186821,65391,0,114715,131938,186870,0
maine,13106,972,13106,13106,0,12514,13103,9705,65,4847,10955,12913,12129
nhi,8223,0,8223,8223,0,2851,3578,2689,464,1765,1879,2944,8154
swaner,418,0,418,418,0,103,407,30,392,11,10,403,333
trada,5,5,5,5,5,5,0,0,0,0,5,5,0
"universidade federal de pernambuco, ufpe",90810,90810,90810,83742,0,47261,6787,8174,0,12267,64359,90747,0
uvsc,15971,15566,15971,15971,0,15727,15971,13577,0,0,0,15968,15718
usfs,8148,8148,3127,8148,0,7896,8073,6293,146,2140,4632,7957,7676
apcr,1456,0,1456,1456,0,46,1456,46,0,0,0,82,46
uema,5475,5475,5475,4944,0,4477,1,3306,0,0,0,5036,0
wstc,1019,1019,1019,1019,1015,1009,1006,8,1011,183,183,1018,981
inia,25,25,25,25,18,25,0,0,0,0,25,25,0
hd,945,945,945,945,528,945,945,945,0,0,945,945,945
ajtt,1391,1391,1391,1341,0,1315,1380,0,0,0,0,0,1365
pucrs,22386,22386,22386,20885,0,22326,4067,17666,0,12772,18640,3059,0
bmo,142762,142762,142762,142762,0,142220,142538,130705,0,0,0,142707,136475
university of rhode island,12556,12556,12556,12556,0,6539,10571,3141,12367,198,240,10038,10230
nlu,10250,0,10249,10250,0,4688,10238,270,9620,423,438,10150,10084
iregep-cp,417,417,417,417,417,417,417,417,0,0,417,417,417
bpi,747457,0,747457,710997,0,692318,692342,0,0,0,379319,703856,671363
imecbio-udg,18777,18777,18777,18777,16715,18777,18777,17460,0,0,18777,18777,18752
fsl,1280,1280,1280,998,0,1188,0,0,0,1079,1055,1280,0
jct,22235,22235,22235,22235,0,22104,22084,22133,0,11060,14243,22235,21721
eiu,27333,13,15228,27331,0,26407,27129,12292,14154,11041,13954,27191,26756
mzlu,203,203,203,203,0,168,180,41,0,0,0,0,0
mesa,3136,0,3135,3136,0,2961,3133,2702,574,22,56,3109,2887
chas,152,152,152,152,0,152,152,52,33,66,152,152,152
csca,69,0,69,69,0,69,69,69,0,37,66,69,69
rsa,742723,334601,424250,742723,0,739946,741902,380830,0,0,0,742618,734089
cibnor,14074,14074,14074,14074,13312,14074,14074,13492,0,0,14074,14074,14027
nbm,10123,0,10123,10123,0,10005,10123,8707,0,882,7860,10120,10046
kiri,7173,0,7173,7173,0,7173,5841,5820,7173,0,2,7148,4894
uam,200695,200695,200695,200695,0,200695,125497,122633,172315,199369,200695,200691,200695
mbml,54134,54134,54134,51217,0,52531,5,48520,0,1391,37520,53938,0
vcu,18873,0,18873,18873,0,0,18854,0,18577,94,94,0,0
univille,15897,15897,15897,15200,0,15145,474,3596,0,10003,12735,15748,0
snm,27589,0,27588,27589,0,26927,27588,7539,0,9237,9265,27516,26805
vvc,2515,2515,2515,2515,0,2480,2515,2424,0,0,0,2482,2481
irenat-cp,1923,1923,1923,1923,1920,1923,1923,1707,0,0,1923,1923,1905
fhl,3508,3508,3508,3508,2659,3508,3473,3406,3505,952,2492,3508,3293
rsabg,21,4,18,21,4,21,20,6,0,0,4,20,20
odu,1729,0,1729,1729,0,1607,1698,128,0,46,149,1703,1604
fcfa-ula,19,19,19,19,14,19,19,0,0,0,19,19,0
bg,216732,216732,216732,216732,0,215113,213756,180721,56295,209019,143916,216428,62683
ecuh,5166,0,5166,5166,0,12,5125,5,4804,53,53,12,12
qm,293,292,293,293,0,293,291,292,0,0,282,286,289
brown,72097,72097,72097,72097,0,43986,67603,3071,61895,0,0,59945,52546
ciidir-ipn,10604,10604,10604,10604,9432,10604,10604,10443,0,0,10604,10604,9875
uwec,1675,0,1675,1675,0,1279,1674,152,1675,1182,1492,1672,1659
bolusherb,16354,16354,16354,16354,0,16354,14512,14370,0,0,2578,16343,9634
brit,84285,720,81309,84285,0,18816,83975,55985,17703,9567,12366,71260,70183
ufu,74259,74259,74259,70427,0,72019,159,15650,0,40267,41749,74257,0
fh,135679,123956,135679,135230,0,129559,132207,2187,95418,4345,4563,133029,116494
gmuf,36506,36506,36506,36506,0,24189,36506,1171,35218,80,829,24595,24249
ndoa,1150,0,1150,1150,0,1126,1147,1,1150,3,1052,1147,1132
wjc,710,0,710,710,0,623,705,0,0,519,522,709,705
comissão executiva do plano da lavoura cacaueira,140092,140092,140092,131150,0,128722,201,75892,0,0,133589,139453,0
uscs,17838,0,17838,17838,0,13,17838,0,17440,0,0,19,13
gsw,13036,0,13036,13036,0,3192,13005,886,12865,61,101,3271,3205
conv,6436,0,6436,6436,0,0,6315,0,6146,0,0,0,0
reed,5484,5484,5456,5484,5344,5314,5437,1797,4873,678,930,5442,5346
universidade tecnológica federal do paraná,29435,29435,29435,28994,0,27610,2696,17403,0,26357,27322,29429,0
msb,39,39,39,39,0,39,39,36,21,37,39,39,39
"sel,ames",1,0,1,1,0,0,1,0,0,1,1,1,0
ufersa,14205,14205,14205,14024,0,12185,6,10860,0,9603,10112,14205,0
ua,553,553,553,553,539,553,553,553,0,0,553,553,553
unesp-ibilce,30988,30988,30988,28735,0,23860,362,2704,0,14039,14751,29461,0
uem,28338,28338,28338,23901,0,27357,156,11330,0,15395,17094,28314,0
usu,154050,154050,153863,154049,0,146424,153227,69138,84687,54089,56057,149473,143502
pom,205936,87555,121543,205936,0,205174,205750,67404,0,0,0,205895,201477
wilton garden club,1222,1222,1222,1222,0,784,1220,1020,1214,0,0,1213,1193
b,205707,205707,0,205487,0,109360,144425,28414,140643,19466,28153,124903,79447
fmnh,23357,23357,23356,23357,2,2,23281,0,3091,0,16515,1916,0
ufpe,59975,59975,59975,58731,0,57074,507,23572,0,32981,45404,59975,0
byu,5,5,5,5,0,5,5,4,0,0,0,5,5
"instituto de botânica, ibt",185250,185250,185250,183337,0,159787,9229,36930,0,126816,141503,185249,0
bry,43699,10,43699,43699,0,43343,43303,29431,39060,4,37546,43537,43432
universidade federal de juiz de fora,60178,60178,60178,56514,0,49099,1391,7251,0,40102,42639,60176,0
ufv,40140,40140,40140,38242,0,36785,138,3981,0,13970,15527,40140,0
dmns,6,6,6,6,0,6,6,3,0,5,6,6,6
ufpi,17659,17659,17659,16363,0,16165,204,4161,0,7192,9945,17527,0
cic,45853,45853,45452,45853,45339,43953,45327,22924,42507,15398,31300,45754,45052
nha,85208,0,85208,85208,0,85102,85064,85087,84706,3233,3488,85095,82882
ufscar,6884,6884,6884,6401,0,6489,4,2159,0,741,975,4723,0
clark-a,7372,7372,7372,7372,0,7033,7372,6513,0,0,0,7333,7355
mot,2488,0,2488,2488,0,2488,2484,2487,2488,1,4,2482,2428
hsc,74762,71139,74762,74762,0,73783,74730,43848,3623,1,3182,74587,74134
universidade do estado de mato grosso,4385,4385,4385,3428,0,4133,0,2929,0,2891,3004,4385,0
psm,11745,11745,11745,11745,11561,11426,11614,220,11514,2,2,11526,11652
missa,28369,29,26732,28369,0,23093,27863,19394,26337,865,932,25591,23647
gmdrc,5498,5498,5498,5498,0,5496,5498,5122,5,5,5,5498,5495
universidade estadual do centro-oeste,6023,6023,6023,5430,0,3827,1,0,0,4109,4466,6023,0
bho,4900,0,4900,4900,0,2933,4896,1,4815,668,725,3224,3154
ipa,83045,83045,83045,80742,0,75119,2295,16519,0,56295,61877,83028,0
if,51498,51498,51498,50707,0,45988,1011,13825,0,21413,24416,51222,0
a,89817,89817,89817,89817,0,80051,83532,11841,28214,11868,6221,89230,63796
university of vermont,39226,39226,39226,39226,0,7918,39226,34058,37036,1770,1857,16055,36665
berea,24281,0,24281,24281,0,1983,24232,14,23454,45,45,2017,1985
dsund,1431,0,1421,1431,0,193,1316,949,5,36,1116,1206,1210
fzb-bh,12557,12557,12557,11964,0,12215,187,3630,0,4409,5389,12547,0
museu nacional/ufrj,2421,2421,2421,2318,0,1629,61,0,0,1489,1761,2395,2294
prc,211145,211145,211145,211145,0,209256,211143,38382,128493,5,210205,211141,207180
iepa,208,208,208,166,0,200,0,0,0,0,0,208,0
ipt,10,10,10,10,8,10,0,0,0,0,10,10,0
ucsb,36815,36815,36815,36814,0,36803,36813,17687,28,8,6,36245,36409
am,1233,1233,1233,1233,0,2,1203,1224,0,726,746,1177,1160
blmar,647,647,647,647,0,647,647,268,0,0,0,644,647
uwsp,73669,53181,73669,73669,0,60022,73591,50049,49989,8907,12717,73478,71750
knk,22925,0,22925,22925,0,22555,22863,943,19092,0,4670,12244,11438
ut,21976,21976,21973,21976,0,8258,21768,4834,21629,3951,4269,8467,8283
linf,3569,3569,3569,3569,3546,3514,3528,255,3479,242,199,3568,3520
inifap-cecoy,2181,2181,2181,2181,2077,2181,2181,1659,0,0,2181,2181,1867
"sel, cm",1,0,1,1,0,0,1,0,0,0,1,1,0
unca,7839,0,7839,7839,0,7371,7830,3407,1,7829,7835,7782,7354
mwcf,5226,0,5226,5226,0,1803,5191,78,2037,345,1521,1882,1837
oma,18989,0,18989,18989,0,18926,18579,5248,0,0,0,18967,18829
uwm,7815,0,7815,7815,0,6171,7804,6232,7547,6766,6774,7812,7249
chsc,74057,74057,74057,74057,0,73719,74057,73217,0,0,0,73820,73863
universidade federal dos vales do jequitinhonha e mucuri,6349,6349,6349,5585,0,6076,7,5996,0,4173,4535,6349,0
ucm,230,230,230,230,0,230,223,14,0,215,216,217,212
mich,706343,1,705841,706343,0,586805,639954,191631,614301,33732,131178,667069,585632
hpc,26212,0,26212,26212,0,10620,26187,2351,2533,3,7,26152,25992
cesues,1963,1963,1963,1963,1949,1963,1963,1963,0,0,1963,1963,1958
keene state university,11861,11861,11861,11861,0,864,10123,0,11473,86,86,9786,9165
cucba-udg,6086,6086,6086,6086,5954,6086,6086,6085,0,0,6086,6086,6086
fprdi,12,12,12,12,12,12,0,0,0,0,12,12,0
usu-utc,25,25,25,25,0,25,25,25,25,25,25,25,25
pim,10,10,10,10,9,10,10,10,0,0,10,10,10
ucr,420970,420969,154435,420970,201,420958,420959,401227,54,76936,86791,420970,154401
unemat,21857,21857,21857,20114,0,21038,0,11775,0,12882,16113,21857,0
wash,712,177,712,712,0,67,669,110,0,3,3,630,610
id,154171,145698,151023,154171,142807,150549,153530,92526,146311,40479,47532,153981,152682
ncslg,4773,0,0,4766,0,4710,4703,617,0,0,4743,4717,4767
hwba,636,0,634,636,0,557,620,224,2,64,88,622,610
faculdade são lucas,7046,7046,7046,4809,0,6625,22,2772,0,1992,2037,6974,0
colgate university,3094,3094,3094,3094,0,2743,3076,50,0,46,186,3008,2702
lpmmbh,283,283,283,283,0,266,283,257,0,0,260,283,275
nmsu,1,1,1,1,0,1,1,0,0,1,1,1,1
empresa brasileira de pesquisa agropecuária,28490,28490,28490,27082,0,22988,16592,20661,0,11499,13634,28484,0
bois,10409,10409,7633,10409,10337,10114,10229,386,7366,1760,6781,10370,9741
university of massachusetts,93292,93292,93292,93292,0,90272,91878,77734,86888,0,0,92001,86389
blm,3712,3712,3655,3712,0,3272,3540,1355,738,491,795,3588,3403
chrb,60439,15,60438,60439,0,25558,46068,4175,54203,7474,8697,34838,31501
asc,83581,1,80062,83581,0,81798,83570,78533,6,2766,27235,83556,81498
irvc,5672,5672,5672,5672,0,5662,5672,4943,0,0,0,5668,5647
pgm,7591,7591,7591,7591,0,7591,7591,3140,0,0,0,7589,7587
sam,1,1,1,1,0,1,1,0,0,0,0,1,1
min,536581,536581,535199,536581,0,388402,458220,224757,291974,29180,33630,455601,404658
la,17186,17186,17186,17186,0,16187,17186,13547,0,0,0,17186,16757
unm,125905,125905,59790,125905,0,121935,125410,58640,56264,32252,44419,125731,121151
uady,6452,6452,6452,6452,6149,6452,6452,6426,0,0,3903,6452,6426
unicach,26936,26936,26936,26936,26100,26936,26936,26936,0,0,26936,26936,26556
fuvates,5760,5760,5760,5731,0,4790,1,2949,0,5636,5652,5760,0
serbo,2947,2947,2947,2947,2897,2947,2947,2947,0,0,2947,2947,2947
pur,4,0,4,4,0,3,4,4,4,0,0,4,4
mnhn,3628250,3628250,3628250,3628250,0,168123,438294,270622,3385044,0,411696,835401,666947
uaz,12613,12613,12613,12613,12508,12613,12613,12613,0,0,12613,12613,12613
nebk,11186,0,11131,11186,0,10970,11033,9,3971,1,2948,11038,10960
fcn-uaq,32264,32264,32264,32264,31723,32264,32246,29458,0,0,32264,32264,31991
tawes,4357,0,4357,4357,0,3108,4357,92,3217,63,63,4234,3108
ufac,18133,18133,18133,14119,0,2,0,4,0,0,4,17923,0
fcb-une,251,251,251,251,251,251,251,251,0,0,251,251,251
uwl,7385,0,7385,7385,0,6904,7384,7018,7381,7049,7054,7162,6992
ciad,154,154,154,154,24,154,154,154,0,0,154,154,154
tenn,414921,67092,414921,414921,0,167494,411991,151187,349598,13754,52063,172378,170697
ny,3929270,3929269,3929270,3929259,0,2288981,2503088,1282421,2836563,619691,828065,2538977,2350050
wcw,10999,10999,10999,10999,10804,10811,10794,892,10887,1925,2246,10921,10686
nebc,159359,159359,159359,159359,0,153502,159338,152,152309,5241,4130,159242,153540
yale peabody museum of natural history,82636,82636,82636,82636,0,25914,81950,33674,73643,668,670,80922,65886
cns,157094,157094,157094,157094,0,152839,155865,153034,0,25516,35064,157094,155876
ufes,41953,41953,41953,37573,0,35770,5,5799,0,27117,27854,41952,0
um,1066,1066,1066,1066,1039,1066,1066,1013,0,0,1066,1066,1037
null,1,1,1,1,0,1,1,1,1,0,0,1,1
perth,640002,639871,639871,640002,0,595924,639995,607547,130,277097,353237,639999,579834
uc,490499,260687,490494,490499,0,396043,407887,263889,220413,6432,18698,411497,399778
nzfri,23,23,23,23,19,23,0,0,0,0,23,23,0
conn,3977,0,3977,3977,0,3772,3933,3922,3770,1,1,3887,3682
ncsu,4,0,4,4,0,4,4,0,0,4,4,4,4
s,1366241,1366241,1366241,1366241,0,1352909,1325023,223731,0,0,0,1331938,929801
boum,7065,7065,7065,7065,0,2320,1034,4857,0,5547,5112,6946,2080
asu,363911,245521,220375,363911,0,347663,360281,308282,119575,43821,209884,359751,344691
syrf,6991,0,6991,6986,0,5767,6194,5,6885,84,2155,6348,6099
alaj,8670,0,8670,8670,0,8571,1196,8249,8666,5946,8540,1143,8577
fesz-unam,54,54,54,54,54,54,54,50,0,0,54,54,53
mo,4673486,4673486,4673486,4673486,0,4431052,4526060,3129413,268805,2529788,2921382,4673460,1
"universidade federal do paraná, ufpr",274,274,274,262,0,239,1,166,0,214,220,271,0
amo,1,1,1,1,0,1,1,1,0,0,1,1,1
