or_institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
URV,2261,0,2261,0,2261,0,0,0,2246,0,2261,2261,2261,2248,262,262,262,377,0,2249,1845,1904,2260,2240,2257
KSTC,50877,50877,50822,0,50866,0,0,0,50498,0,48553,48547,48442,46889,22569,22569,22569,0,0,0,0,38196,50510,50221,44622
MASS,8723,0,8723,0,8723,0,0,0,8723,0,8505,8564,6569,2555,8558,8558,8558,134,0,8723,23,28,8712,7624,157
BBLM,4481,4481,4481,0,4481,0,4445,0,4084,4476,4349,4476,4348,4122,1227,1227,1227,3340,0,4155,257,1741,4472,4365,4463
WCUH,29877,5725,29876,0,29877,0,0,0,6697,0,29837,29837,29858,29590,3238,3239,3238,3599,0,22388,561,860,5666,6321,6497
PERTH,131,0,0,0,131,0,0,0,131,0,131,131,0,0,90,90,90,0,0,130,3,1,131,129,130
FLD,16890,0,16334,0,16889,0,0,0,16351,0,16724,16866,16717,16354,10759,10759,10759,9682,0,15731,420,2502,16520,16206,13170
PHw,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
ISTC,6830,0,0,0,6830,0,0,0,4197,0,4570,4890,4593,3,4,4,4,3,0,0,0,0,4936,4928,3
HAW,4189,4189,4189,0,4189,0,0,0,1657,0,2925,2938,2468,1655,1,1,1,2,0,4025,0,483,3398,1,4179
UARK,2727,0,2727,0,2727,0,0,0,2712,0,2509,2538,2362,1333,1171,1171,1171,85,0,2727,1503,2635,2710,2665,2652
LCDI,1397,0,1286,0,1397,0,0,0,1191,0,1393,1397,1393,1385,439,439,438,0,0,0,121,262,1396,1388,1300
TLU,6641,6641,0,0,6641,0,0,0,6605,0,6638,6639,6639,6639,6439,6440,6439,131,0,21,734,770,6637,6597,6604
UNLV,3143,0,3143,0,3143,0,0,0,3138,0,3140,3143,3126,2997,1603,1601,1601,2313,0,3143,1597,1682,3141,3134,3139
KSP,37970,216,32231,62,37970,0,0,0,36928,0,37925,37944,37372,36240,15217,15206,15206,9151,0,5584,2300,3544,37861,37272,36953
UF,20910,20910,20908,20907,20910,0,0,0,15352,20843,20693,20590,20576,19095,18224,18224,18223,0,0,1,0,0,19433,3876,0
PH 987012,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
MICH,706343,1,705841,10211,706343,0,0,0,586805,0,627391,639954,584579,396424,191746,191637,191632,50762,1,614301,33732,131178,667069,585632,630104
VSC,72641,68881,72640,0,72641,0,0,68881,11855,0,72433,72371,71395,69116,4426,4425,4425,139,0,72640,15668,32594,72633,72294,2966
HCOA,665,0,665,0,665,0,0,0,659,0,664,664,664,664,659,659,659,0,0,577,522,597,557,650,550
TLE,25440,0,25440,0,25440,0,0,0,24992,0,25064,25341,24597,14790,13951,13944,13944,16604,0,24017,21758,22265,25420,25138,24981
MUR,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
MSC,203786,179189,203715,179174,203786,0,0,0,198562,171246,195174,190026,154469,113615,33556,32149,32125,2957,0,24547,11046,11598,197717,192300,19547
PLU,7087,7087,7083,0,7087,0,7027,0,6982,7027,6998,7027,6998,6292,762,762,762,618,0,7031,405,1431,7036,6916,7040
SMU,1273,4,1273,0,1273,0,0,0,1183,0,1251,1254,1038,812,51,51,51,255,0,2,147,173,1265,1232,1245
