or_institutionCode,uniqueToiDigBio
HUNT,5633
MUGM,12425
NE,85292
UNESP-IBILCE,31047
"Universidade Estadual de Londrina, UEL",54501
BNHM-UCB,16
RBCM ??,1
AMDC,120
AMES,937
FH,25441
GB,153551
MCA,51496
NHMO,465240
NPA-ARS-USDA,589
UFSJ,10576
UJAT,12129
CIBNOR,21770
CSU,216224
FCBA-UCOL,5276
MBM,286622
Museu Paraense Emílio Goeldi (MPEG),34064
"Ohio State University - Amphibian Division, Columbus, OH (OSUM)",4998
CICIMAR-IPN,32344
TAES,851
UCSC,7486
UNICACH,29468
UNITINS,7656
TESRI,3
PASAC,1
HO,193710
ILL,122046
RUAC,6979
MBM-UACAM,15858
UO,1
MAINE,13238
VT,243700
miss,1
University of Florida,19
MTEC,1
SUU,5761
UNIVASF,23798
WWU,4039
ZMBN,163090
UGAMNH,83
MZH,94
Memorial University of Newfoundland,1769
UFPB,58160
YPM,1340722
FCA-UAEM,7370
Gouvernement du Québec,101919
RB,19076
YIO,31
IMECBIO-UDG,19257
NBM,10123
UAM,567829
UWBM,188724
WIS,513625
RBG,2088
AMNH,1153116
Jardim Botânico de Brasília,33991
UBCBBM,39773
UTC,24758
OLML,5
GWMP,1922
JOTR,4358
MNRJ,226
MO,287
O,1381616
VCU,18890
MRCA,1
BRU,17946
"Ohio State University - Reptile Division, Columbus, OH (OSUM)",2392
Royal Ontario Museum: ROM,9760
SRP,107385
UFPI,17659
UZMC,6
MARY,54344
UCB,42721
OMC,113
KUNHM,3
COA,1281
FSU,165369
GBC,474
UAMI,60755
UDESC,7394
WEWO,1903
JSANUS,5
YPM-PU,2
CNIC,23
Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul,39861
RMNH,1395
TUZ,95
SMWN,6
SAU,4480
BROW,2044
CIP-INSP,455
SYRF,7069
AVCH,2155
EPHR,1778
Instituto Nacional de Pesquisas da Amazônia (INPA),328058
MB,117
SWANER,423
WSU,221
BING,19808
MSUNH,1389
OUIP,2410
UACh,68400
HBSH,2429
Milwaukee Public Museum (MPM),48396
NPS,2021
UAFMC,17264
NAVA,12787
UCONN,9889
University of Calgary,1650
BRY,44705
CICESE,978
MISS,76598
Universidade Federal da Bahia,114001
SAMC,17
C,113506
PMNS,7509
PNFM,9488
Zoological Research Institute and Museum Alexander Koenig in Bonn (ZFMK),1725
FCFA-ULA,19
FHKSC,552
DMNS,260943
SLU,6250
VPI,45450
FCF-UANL,2044
AUMP,1
FLMNH-UF,41984
USMS,18347
University of Colorado Museum of Natural History (UCM),81478
MEFLG,309
CUMV,197393
SOC,21597
US,370245
"Universidade Federal do Paraná, UFPR",274
ASNHC,32915
IEPA,208
Museu Nacional/UFRJ,96138
OCPC,7441
TS,17520
SANC,5
CIRPAS-INIFAP,636
CMC,86664
DEI,67
MEMU,56227
UD,10752
UNESC,11369
TMP,41
NCSLG,4862
FZB-BH,12557
MESA,3167
UAG,69
RMCA,2
ENLC,6091
MWI,42498
NHI,8288
PSM,77157
Yale Peabody Museum of Natural History,82880
AMNHTC,189
ZPAL,9
Enterogona,3
PAS,1
WET,4425
BHSC,1604
ICN,148
WWB,10549
DART,255
GSU,25098
SFSU,34616
WGC,5002
Westfield State University,11058
OCSD,1
PDL,2
AD-A,126
CESUES,2309
IBt,75718
MACF,247
UFERSA,14205
UNM,127405
WFU,156
Mesostigmata,4
AASU,5069
UCBME,4158
Universidade Regional Integrada do Alto Uruguai e das Missões,10705
University of Central Florida Collection of Arthopods (UCFC),564020
CLT,1
DAV,131137
FCMM,127
JEPS,109684
NMSU,90686
UEG,7621
UIC,220
ECON,23
CCBER,24585
CIC,54970
CM,1129858
UIMNH,9481
University of Alberta Museums,122596
WVA,12194
NDBC,72
OSU,1979
FCB-UANL,29202
LBOB,1114
MPEG,25500
UCDC,25623
UCLA,62815
UMRM,174
QM,851493
UMAM,6601
mcnh,1785
UMAR,80
CNCI,152
MCNH,10159
NHA,85951
ZMA,1
"University of Catania, G.F.Turrisi collection",4
A,1387
BMNSM,127830
FMVZ-UADY,31054
MEL,881428
ZSM,260
ZRC,8
CIAD,3180
CIRCE-CEBAJ-INIFAP,7583
JTP,7912
NAUF,75476
REED,7400
SVG,8155
USAC,4400
CONV,6445
SWRS,2206
UDLAP,3440
UNR,8495
"Universidade Federal do Ceará, UFC",61473
BIIC,64
FA-UANL,75
YUIC,2
NMW,1
CINVESTAV-IPN,40380
LACM,800355
UFU,74259
GPSC,578
MBBJ,10
BDI,18753
BYU,194299
CICB-UATX,6589
EDOBLM,1333
FSL,1280
UConn,11742
scc,22
INBI,3
CSUC,23612
GUAM,38721
SIU,19105
UBC,116
UFMT,19321
ZIN,86
CMNC,94
JOE,1
ALAJ,9889
ECOSUR,211575
EMU,1242
GAS,35994
IGL-UNAM,14664
