or_institutionCode,uniqueToiDigBio
MOR,103501
BLMMD,4682
UCSB,36816
Bartlet Arboretum,3765
DEWV,10482
SC,3872
GRCH,2325
RMS,32465
UWL,7385
MOVC,1
NEBK,11011
INHS,27
GSW,13036
MWCF,5225
UCR,154188
ALBC,236
EVE,770
LA,17186
PEMB,4468
DSUND,1421
HCHM,4051
GMDRC,5494
"SEL, CM",1
TTU,6
PSUC,18
CLARK-A,7372
GMS,8139
USFS,3128
RENO,102413
WJC,705
"SEL, MO",1
FLAS,174868
TAWES,4356
F,409
NCZP,1434
MCTC,13798
FARM,47026
MCZ,3342
SEINet,258
TAC,2246
WFBM,4
DBG,270
RSA,424245
UAAH,12992
URV,2261
BBLM,4471
MASS,8723
KSTC,1
WCUH,22229
PERTH,1
FLD,14587
PHw,1
ISTC,1
HAW,4189
LCDI,1284
UARK,2727
TLU,1
UNLV,3143
KSP,21440
UF,6131
PH 987012,1
MICH,705829
HCOA,664
VSC,72641
TLE,25432
MUR,1
MSC,24659
PLU,6348
SMU,1273
"",1175
TU,67
ENMU,5170
Wilton Garden Club,1222
"SEL, FLAS",9
NYS,43264
UC,490298
UMFK,46285
SFV,7201
TENN,348368
USU,175
GVSC,3143
NDA,8379
NDOA,1150
PAC,49627
VMNH,66
GH,13
IBE,13908
LSU,5290
UVSC,15971
SIM,23933
ARCH,4723
UOMNH,1907
BUF,33
UAMb,4
UCMP,17748
GMNH,7
BEREA,24281
CHSC,63731
POM,121543
University of Vermont,39226
WSP,76
NMNHI,1
USUUB,6820
UWM,7815
PUR,4
UNCA,7837
Boston University,10844
SEL,6216
USAM,621
HSU,1
ID,153203
UTEP,40
UMMZ,150
ASC,80004
CAS,256652
ASU,96379
MISSA,26733
SDSM,913
HUNT,5633
MUGM,19
FH,14200
MCA,51328
AMES,1
CSU,2094
MBM,302860
TAES,846
UCSC,7339
ILL,107197
MAINE,13106
VT,308617
miss,1
SUU,5590
YPM,697
WIS,563143
UWBM,17
UAM,4
AMNH,5626
UTC,52
JOTR,4358
MO,172
VCU,18869
BRU,15730
SRP,83097
MARY,53192
FSU,165291
WEWO,1902
SAU,1
SYRF,6991
AVCH,2704
EPHR,1712
BING,19758
MSUNH,1302
HBSH,2426
NPS,2021
NAVA,12606
BRY,43699
MISS,76121
FHKSC,1
VPI,31872
DMNS,10
USMS,17667
SOC,18432
US,16590
CMC,20235
NCSLG,1
MESA,3133
ENLC,5312
MWI,42349
NHI,8222
PSM,11847
Yale Peabody Museum of Natural History,82579
WET,1
WWB,4097
BHSC,2
SFSU,34315
WGC,4999
Westfield State University,11031
MACF,247
WFU,126
UNM,3
AASU,5061
DAV,111498
JEPS,109684
ECON,2
NMSU,1
CIC,44807
CM,485
WVA,12153
UCLA,690
NHA,85208
A,5
REED,5453
JTP,1
CONV,6434
SWRS,1666
LACM,176
BDI,1
EDOBLM,1328
UConn,11030
BYU,5
SIU,6785
GUAM,3
ALAJ,8670
GAS,35396
KANU,1184
GEO,14850
PGM,7591
UWSP,73669
DUKE,427443
PRC,211145
SD,127440
SNM,27588
CMNH,111
MDKY,10278
NCU,513526
ALA,64479
WASH,688
YM-YOSE,9204
WTU,360329
USNM,44125
BPBM,13733
ARIZ,35221
KNK,22925
TROY,14534
IRVC,5672
"SEL,AMES",1
Central Connecticut State University,1785
MONT,52768
USF,17173
University of New Hampshire,86140
BDWR,3720
CATA,2832
PH,583457
UCHT,42101
KU,634
NY,35538
TTRS,10505
MIN,706
NCSC,36699
CRMO,531
FTG,539
MU,144947
OS,49573
CNC,8
COLO,50667
CSUSB,2003
EKY,76608
MEM,13570
SDSU,33516
BPI,747457
EMC,8842
NLU,10552
NCSU,4
RHNM,6
CHRB,95827
UNA,2390
SALK,813
UCM,211
BOIS,7801
KIRI,7173
BUT,4913
Brown,73379
CUP,62383
ISC,98455
USCH,1177
CAU,5357
ETSU,6659
SENEY,741
DES,88213
PUL,2
HWBA,632
OMA,18989
PRI,747
"PT: SEL, USF",1
CDA,24115
SCFS,1000
LEDLIE,1
HUDC,8739
Harvard University,21323
KAIB,1
OBI,45766
CINC,41880
FHL,3380
KE,14972
NEB,47999
University of Massachusetts,93292
UVA,212
IDS,3134
NEBC,104
Western Connecticut State University,6008
NMC,1
DS,118417
APCR,1456
CLEMS,79472
MSB,35
OSC,82302
WCW,10852
HJAEF,650
ILLS,114868
MNA,36321
CSCA,69
FMNH,76
BLMAR,647
RMBL,6900
VDBBRIT,1
BOON,15241
CALVIN,4825
HLSD,3542
MOAR,25099
YUO,183
GA,270240
JMUH,5062
BALT,18605
DEK,3793
HPC,26567
HPSU,15599
JROH,4747
USCS,17838
EIU,15229
ODU,1727
SCIR,1296
SAPCL,258
UCD,102124
Colgate University,3094
University of Rhode Island,12556
UWFP,21517
SACT,2522
TENN-F,67518
DMNH,48
IND,157049
"SEL, USF",61
USFWS,5062
AWC,1635
FTU,19346
Arizona State,1
DOV,52904
UNAF,3154
BRIT,123842
SBBG,131768
Deaccessioned,1
AUA,28033
WNC,6625
WSTC,1018
SJSU,10115
UWEC,1675
Connecituct College,1067
Keene State University,11660
JFBM,9
ECUH,5166
MOT,2488
CONN,3977
RM,6126
BHO,4900
VDB,170556
LINF,3569
UHM,1519
HSC,74762
UNCC,9590
BLM,3613
MSUB,10744
RSABG,15
NULL,1
EWU,7913
MUHW,41467
PASA,2394
MONTU,65633
VVC,2515
GMUF,36503
UT,68892
University of Maine,44772
LSUM,99
CBG,68
CORT,5336
VALE,5034
MIL,3155
